ncbiTaxID	Temp
14	75.5
17	33.5
19	35.0
23	25.0
24	32.5
25	15.0
33	28.5
34	29.0
41	30.0
48	25.0
52	29.0
65	26.666666666666668
69	30.0
72	37.0
86	30.0
94	29.0
100	26.0
104	26.25
106	27.5
108	26.0
120	31.0
122	30.0
125	27.0
128	42.333333333333336
134	30.0
139	32.0
154	67.0
159	38.0
160	37.0
167	37.0
173	30.0
174	30.0
189	26.0
190	29.0
192	37.0
193	37.0
195	37.0
196	27.5
197	36.0
198	39.5
199	37.0
200	37.0
201	34.666666666666664
202	37.0
203	37.0
204	37.375
205	20.0
206	37.0
210	37.0
212	37.0
213	37.0
214	37.0
215	37.0
216	37.0
217	37.0
218	37.0
227	30.0
235	37.0
236	37.0
238	29.5
239	20.0
244	30.0
245	24.2
249	28.5
250	34.666666666666664
252	25.0
253	27.5
254	28.0
256	30.0
258	33.5
263	37.0
266	33.5
271	70.0
274	68.5
276	72.25
277	61.25
280	27.5
285	29.857142857142858
287	36.5
292	32.5
293	30.5
294	29.857142857142858
296	20.0
298	25.5
300	35.0
301	30.0
303	27.5
304	30.0
305	29.5
306	30.0
316	35.0
317	26.0
329	31.75
333	33.5
337	32.5
339	28.0
343	28.0
347	28.0
350	30.0
353	25.0
354	30.0
358	28.0
359	26.5
361	26.0
375	27.5
376	27.33333333333333
380	27.5
381	27.5
382	27.5
384	27.5
396	26.0
398	27.5
399	30.0
405	42.0
406	30.0
408	27.5
409	28.166666666666668
410	28.75
414	45.0
428	28.0
435	30.0
437	33.5
438	30.0
442	27.5
446	36.0
447	37.0
448	37.0
449	37.0
450	37.0
451	37.0
452	37.0
453	37.0
454	37.0
455	37.0
456	37.0
458	37.0
460	30.0
463	37.0
464	37.0
466	37.0
470	32.5
471	29.5
472	28.53333333333333
476	35.0
477	32.333333333333336
478	35.6
480	34.0
483	37.0
484	37.0
485	35.5
486	35.5
487	36.5
488	33.5
490	37.0
491	37.0
493	37.0
495	35.0
498	22.5
500	72.5
504	37.0
505	37.0
511	28.5
512	30.875
518	36.0
519	36.0
520	36.0
521	36.5
529	28.5
533	25.0
536	32.5
537	25.666666666666668
542	27.5
545	37.0
546	37.0
548	32.333333333333336
549	30.0
550	30.0
552	28.5
553	30.0
554	28.5
556	28.0
562	35.25
563	33.5
564	37.0
565	32.333333333333336
566	33.5
569	30.0
571	33.34615384615385
573	34.5625
575	32.8
576	31.0
577	31.08333333333333
580	33.5
582	36.0
584	37.0
585	37.0
587	37.0
614	33.5
615	33.5
618	26.0
621	35.25
622	37.0
623	34.666666666666664
624	37.0
628	28.0
630	28.5
631	28.5
632	28.5
633	28.5
634	33.5
636	37.0
638	30.0
644	29.5
645	23.5
646	29.61904761904762
647	30.0
648	29.846153846153847
649	30.0
650	30.63157894736842
651	23.5
652	29.875
654	30.291666666666668
656	29.714285714285715
659	22.5
661	28.0
663	30.63636363636364
666	36.0
668	25.0
669	26.0
670	30.13888888888889
671	27.33333333333333
672	30.27659574468085
673	30.0
674	31.75
675	26.75
676	33.5
680	26.0
