CCUG Number	cond
61664T	Blood agar, aerobic, 30°C
61636T	Blood agar, aerobic, 30°C, 24h
61593T	Blood agar, CO2, 37°C
61574T	Chocolate agar, CO2, 37°C
61573T	Chocolate agar, CO2, 37°C, 48h
61533T	Chocolate agar, CO2, 37°C, 48h
61504T	Marine agar, aerobic, 20°C, 48h
61506T	Marine agar, aerobic, 30°C, 48h
61507T	Marine agar, aerobic, 20°C, 48h
61508T	R2A agar, aerobic, 20°C, 2-3 days
61484T	R2A or Blood agar, aerobic, 30°C, 24h
61485T	Marine agar, aerobic, 30°C, 48h
61486T	Marine agar, aerobic, 30°C, 48h
61472T	MRS agar, aerobic 30°C, 24h
61473T	R2A agar, aerobic 30°C, 4d days
61470T	Blood agar, aerobic, 30°C
61328T	Blood agar, microaerophilic, 37°C, 3-5 days
61321T	Marine agar, aerobic, 30°C, 2 days
61299T	Chocolate agar, anaerobic, 37°C
61259T	Blood agar, CO2, 37°C
61260T	Blood agar, CO2, 37°C
61247T	Legionella agar, aerobic, 30°C
61248T	Legionella or Blood agar, aerobic, 30°C
61249T	Legionella or Chocolate agar, aerobic, 30°C
61235T	Chocolate agar, CO2, 37°C
61094T	Blood agar, aerobic, 37°C, 2-3 days
61031T	R2A agar, aerobic, 20°C, 2 days
61032T	R2A or blood agar, aerobic, 20-30°C, 2-3 days
60991T	Blood agar, aerobic, 30°C
60970T	Blood or chocolate agar, CO2, 37°C, 2-3 days
60908T	Chocolate agar, anaerobic, 37°C, 48h
60910T	Chocolate agar, anaerobic, 37°C, 24h
60911T	NA
60912T	Chocolate agar, anaerobic, 37°C
60913T	Chocolate or blood agar, anaerobic, 37°C, 24h
60914T	Chocolate or blood agar, anaerobic, 37°C, 24h
60892T	Chocolate agar, anaerobic, 37°C
60898T	Marine agar, aerobic, 30°C, 48h
60899T	Marine agar, aerobic, 30°C, 48h
60900T	Blood agar, aerobic, 30°C
60888T	TSA or Blood agar, aerobic, 30°C, 48h
60890T	TSA aerobic, 37°C
60891T	Blood agar, aerobic, 30°C
60872T	Blood agar, anaerobic, 37°C, 24h
60873T	Blood agar, anaerobic, 37°C, 24h
60841T	Blood agar, 30-37°C, 24h
60843T	Blood agar, aerobic, 30°C, 48h
60798T	Marine agar, aerobic, 30°C, 48-72h
60799T	Marine agar, aerobic, 30°C, 24-48h
60800T	Marine agar, aerobic, 30°C, 24-48h
60801T	Marine agar, aerobic, 30°C, 24-48h
60802T	Marine agar, aerobic, 30°C, 24h
60763T	Marine agar, aerobic, 30°C
60742T	R2A agar, aerobic, 30°C, 48h
60743T	Marine Agar, aerobic, 30C
60744T	Marine agar, aerobic, 30°C, 48h
60745T	Marine agar, aerobic, 30°C, 48h
60723T	TSA agar, aerobic, 30°C, 48h
60724T	TSA agar, aerobic, 30°C, 48h
60725T	Blood agar, aerobic, 30°C, 48h
60717T	R2A agar, aerobic, 30°C, 48h
60559T	Blood agar, aerobic, 30°C
60563T	Blood agar, aerobic, 30°C
60564T	Blood agar, aerobic, 37°C
60566T	Blood agar, aerobic, 30°C
60518T	NA
60522T	Marine agar, aerobic, 30°C, 48h
60523T	Marine agar, aerobic, 30°C, 48h
60524T	Marine agar, aerobic, 30°C, 72h
60525T	Marine agar, aerobic, 30°C, 24h
60526T	Marine agar, aerobic, 30°C, 24h
60527T	Marine agar, aerobic, 30°C, 24h
60528T	Marine agar, aerobic, 30°C, 48h
60529T	Marine agar, aerobic, 30°C, 48h
60465T	Nutrient agar, aerobic, 30°C, 48h
60466T	Marine agar, aerobic, 30°C, 48h
60371T	Chocolate agar, anaerobic, 37°C, 24h
60324T	Chocolate agar, CO2, 37°C
60305T	Chocolate agar, anaerobic, 37°C, 48h
60229T	Chocolate agar, CO2, 37°C
60213T	Chocolate agar, CO2, 37°C, 3-4 days
60214T	NA
60118T	Legionella agar, CO2, 37°C or 42°C, but no growth at 56°C, 48h
60119T	Chocolate or Legionella Agar, CO2, 37C, 24h
60088T	Blood or TSA agar, aerobic, 30°C, 24h
60090T	TSA agar, aerobic, 30°C, 48h
60095T	TSA agar, aerobic, Room temperature
60096T	R2A agar, aerobic, 30°C, 3 days
60099T	Blood agar, aerobic, 30°C
60100T	Blood agar, aerobic, 30°C
60103T	Blood agar, aerobic, 30°C
60105T	Blood agar, aerobic, 30°C
60109T	TSA or R2A agar, aerobic, Room temperature
60111T	Blood agar, aerobic, 30°C
60112T	TSA agar, aerobic, 30°C
60050T	TSA+10%NaCl agar, aerobic, 56°C, 72h
60038T	Blood agar, aerobic, 30°C
60040T	R2A Agar, aerobic, room temp, 4 days
60020T	Marine agar, aerobic, 20°C, 48h
60021T	Marine agar, aerobic, 30°C, 48h
60022T	Marine agar, aerobic, 30°C, 24h
60023T	Marine agar, aerobic, 30°C, 48h
60024T	R2A agar, aerobic, 30°C, 24h
60010T	FAA or chocolate agar, anaerobic, 37°C, 24-48h
59994T	Blood agar, CO2, 37°C
59995T	Blood or chocolate agar, CO2, 37°C
59972T	NA
59938T	Potato-dextrose agar, aerobic, 30°C, 3-4 days
59930T	Blood agar, aerobic, 30°C
59876T	TSA agar, aerobic, 37°C
59877T	Blood agar, aerobic, 37°C
59868T	R2A agar, aerobic, 30°C, 24-36h
59869T	? agar, aerobic, 30°C
59870T	Blood agar, aerobic, 30°C
59871T	Blood agar, aerobic, 30°C
59872T	Blood agar, aerobic, 30°C
59855T	Chocolate agar, CO2, 37°C
59856T	Blood agar, aerobic, 37°C
59857T	NA
59858T	Leg agar, CO2, 37°C
59859T	NA
59860T	Blood agar, 30°C, aerobic
59861T	Chocolate agar, microaerophilic, 37°C, 2-3 days
59862T	Blood agar, microaerobic, 37°C
59863T	Blood agar, aerobic, 37°C
59864T	Blood agar, aerobic, 37°C
59866T	Halotolerant (<13% NaCl, 4-45°C)
59867T	Blood agar, aerobic, 30°C
59847T	Blood agar, aerobic, 30°C
59848T	R2A, 30°C
59834T	ATCC 573 Bacillus medium, aerobic, 56°C, 24h, no growth at 42°C
59809T	Blood agar, aerobic, 37°C
59777T	BHI Agar, aerobic, 37C
59778T	BHI Agar, aerobic, 37C
59771T	Blood agar, aerobic, 37°C
59712T	FAA agar, anaerobic, 37°C
59713T	R2A or LB10% agar, aerobic, 56°C
59705T	BHI+5%NaCl agar, aerobic, 30°C, 48h
59683T	Medium K agar, aerobic, 30°C, 48-72h
59684T	Medium K agar, aerobic, 30°C, 48-72h
59685T	Medium K agar, aerobic, 30°C, 48-72h
59655T	Chocolate agar, CO2, 37°C, 48h
59649T	Blood agar, aerobic, 37°C
59652T	Chocolate agar, CO2, 37°C, 24h
59653T	Chocolate agar, CO2, 37°C, 24h
59620T	TSA+10%NaCl or marine agar, aerobic, 56°C, 7days
59621T	Blood agar, anaerobic, 37°C, 48h
59622T	Chocolate agar, anaerobic, 37°C, 24h
59597T	Blood agar, aerobic, 30°C
59598T	Blood agar, aerobic, 30°C, 48h
59599T	R2A agar, aerobic, 30°C, 5 days
59571T	Blood agar, aerobic, 30°C, 48-72h
59572T	Marine agar, aerobic, 30°C, 6 days
59534T	Blood agar, anaerobic, 37°C, 7 days
59509T	Marine Agar, aerobic, 30C, 72 hr
59446T	Blood or TSA agar, aerobic, 30°C
59448T	Blood agar, aerobic, 30°C
59364T	TSA or blood agar, aerobic, 20-30°C
59367T	NA
59334T	Chocolate agar, anaerobic, 37°C, 24h
59335T	Chocolate agar, anaerobic, 37°C, 48h
59307T	Blood agar, aerobic, 20-30°, >72h
59308T	Blood agar or BHI+5%NaCl, aerobic, 37°C, 48h
59304T	Blood agar, CO2, 37°C
59306T	Blood agar, aerobic, 37°C
59195T	Blood agar, aerobic, 30°C
59231T	Blood agar, aerobic, 30°C
59226T	Blood agar, aerobic, 37°C
59229T	Blood agar, microaerobic, 30°C, 2-3 days
59208T	Marine agar, aerobic, 30°C, 48h
59209T	Marine agar, aerobic, 30°C, 24-48h
59210T	Marine agar, aerobic, 30°C, 24-48h
59189T	Blood or TSA agar, 37°C, 48h
59143T	Chocolate agar, anaerobic, 37°C, 48h
59129T	Blood or TSA agar, 30-37°C
59101T	TSA agar, aerobic, 30°C
59022T	NA
59023T	Blood agar, aerobic, 30°C
59024T	NA
58959T	NA
58938T	R2A agar, aerobic, 30°C, 3 days
58939T	R2A agar, aerobic, 20°C, 7-10 days
58932T	Blood agar, aerobic, 30°C
58934T	R2A agar, aerobic, 30°C, 24-48h
58910T	Blood or R2A agar, aerobic, 30°C
58915T	R2A agar, aerobic, 20°C, >7days
58916T	Blood agar, aerobic, 30°C
58906T	Blood agar, aerobic, 20°C, 2-3 days
58907T	Blood agar, aerobic, 20°C, 2-3 days
58878T	Marine agar, aerobic, 30°C, 24-48h
58879T	Marine agar, aerobic, 30°C, 24-48h
58853T	Chocolate agar, CO2, 37°C
58831T	Blood agar, aerobic, 30-37°C, 5-7 days
58784T	Blood agar, aerobic, 37°C
58757T	Chocolate agar, anaerobic, 37°C, 24h
58759T	Blood agar, aerobic, 37°C, 24h
58760T	Blood agar, aerobic, 37°C, 24h
58724T	R2A agar, with a few drops of methanol spreaded on the surface, aerobic, 30°C, 4days
58725T	Blood agar, aerobic, 30°C
58728T	Chocolate agar, CO2, 37°C
58729T	Chocolate agar, CO2, 37°C, 48h
58731T	7H10 or chocolate agar, aerobic, 30°C, 5 days
58693T	7H10 agar, aerobic, 37°C, 10-14 days
58687T	Blood or TSA agar, aerobic, 20°C
58690T	Marine agar or blood agar, aerobic, 30°C
58667T	Blood or TSA agar, aerobic, 30°C
58655T	Chocolate agar, CO2, 37°C
58638T	Blood agar, aerobic, 37°C, 48h
58639T	Chocolate agar, aerobic, 20°C, 4-6 days
58627T	Chocolate agar, CO2, 37°C
58604T	Chocolate agar, anaerobic, 37°C, 48h
58580T	Blood agar, aerobic, 30-37°C, 24-48h
58493T	NA
58488T	TS or Caso agar, aerobic, 28°C, 24-48h
58479T	Blood agar, CO2, 37°C
58459T	7H10 agar, CO2, 7-14 days
58460T	Chocolate agar, CO2, 3-5 days
58462T	7H10 agar, CO2, 3-5 days
58464T	Chocolate agar, CO2, 6 days
58430T	Marine agar, aerobic, 32°C, 1-2 days
58416T	Blood agar, aerobic, 30°C
58417T	Chocolate agar, CO2, 37°C, 48h
58418T	Chocolate agar, anaerobic, 37°C, 3 days
58411T	R2A agar, aerobic, 30°C, 6-8 days
58412T	R2A agar, aerobic, 14 days
58399T	Marine or blood agar, aerobic, 30°C, 1 days
58400T	Marine or blood agar, aerobic, 30°C, 1 day
58401T	Marine agar, aerobic, 30°C, 1 day
58402T	Marine agar, aerobic, 25°C, 3 days
58403T	Marine agar, aerobic, 30°C, 3 days
58314T	TGE agar, aerobic, 30°C, 6-7 days
58315T	NA
58316T	Marine agar, aerobic, 30°C, 48h
58329T	R2A agar, aerobic, 30°C
58335T	R2A agar, aerobic, 30°C
58308T	Legionella medium, CO2, 37°C
58273T	Marine agar, aerobic, 30-37°C, 48h
58235T	Chocolate agar, anaerobic, 37°C, 24h
58238T	Blood agar, aerobic, 37°C, 24-48h
58231T	Chocolate medium, anaerobic, 37°C, 3-5 days
58201T	Nutrient agar, aerobic, 30°C
58142T	Blood agar, aerobic, 30-37°C, 48h
58092T	Blood agar, aerobic, 30°C
58093T	TSA agar, aerobic, 30°C, 2-3 day
58094T	Blood agar, aerobic, 30°C
58095T	Blood agar, aerobic, 30°C
58096T	TSA, aerobic, 28°C
58097T	Blood agar, CO2, 37°C
58136T	R2A or nutrient agar, aerobic, 30°C
58137T	R2A or nutrient agar, aerobic, 30°C
58127T	Blood agar, aerobic, 30°C
58090T	Blood agar, anaerobic, 35°C, 48h
58091T	Blood agar, anaerobic, 35°C, 48h
58074T	Marine agar, aerobic, 30°C, 48h
58049T	Blood agar or TSB, aerobic, 25-28°C, 72h
58050T	TS agar, aerobic, 30°C, 3 days
58051T	Blood agar or TSB, aerobic, 30°C, 24-48h
58052T	Blood agar or TSB, aerobic, 30°C, 24-48h
58053T	Blood agar or NA agar, aerobic, 28°C, 24-48h
58054T	Blood agar or chocolate agar, aerobic, 30-37°C
58056T	NA
58058T	Blood agar, anaerobic, 37°C
58059T	Blood agar, anaerobic, 37°C, 24h
58060T	Blood agar, aerobic, 37°C
58061T	BHI or chocolate agar, aerobic, 28°C
58062T	TSA, aerobic, 30°C
58046T	TSA agar, aerobic, 30-37°C
58047T	TSA agar, aerobic, 22°C, 5 days
58020T	Blood agar, aerobic, 30°C
58010T	Blood agar, CO2, 37°C
57953T	Blood agar, aerobic, 30°C, 24h
57954T	TGE agar, aerobic, 30°C, 72h
57956T	Blood agar, aerobic, 30°C, 24h
57958T	Chocolate agar, CO2, 37°C, 24h
57944T	Blood agar, anaerobic, 37°C, 48h
57945T	Chocolate agar, anaerobic, 37°C, 48h
57946T	Blood agar, anaerobic, 37°C, 48h
57942T	Chocolate agar, CO2, 37°C
57943T	Blood agar, aerobic, ?°C
57911T	NA
57912T	TSA agar, aerobic, 37°C
57883T	Blood agar, aerobic, 30°C, 24h
57884T	Blood agar, aerobic, 30°C, 48h
57889T	Blood agar, aerobic, 30°C
57879T	Blood agar, aerobic, 30-37°C, 24h
57835T	Blood agar, 37°C, 24h
57753T	Marine agar, aerobic, 30°C, 3 days
57754T	Marine agar, aerobic, 30°C, 2-3 days
57755T	Marine agar, aerobic, 30°C, 2-3 days
57756T	Chocolate agar, CO2, 37°C
57735T	R2A agar, aerobic, 30°C, 48h
57736T	Blood agar, aerobic, 30-37°C, 24h
57738T	? agar, ?, ?°C, ?h
57723T	Blood or chocolate agar, anaerobic, 37°C, 48h
57711T	R2A agar, aerobic, 30°C, 72h
57707T	Blood agar, aerobic, 30°C, 24h
57694T	Blood agar, aerobic, 37°C, 24h
57695T	? agar, aerobic, ?°C, ?h
57679T	Chocolate agar, anaerobic, 37°C, 24-48h?
57665T	NA
57657T	Blood agar, aerobic, 30°C
57646T	Chocolate agar, anaerobic, 37°C, 48h
57647T	Chocolate agar, CO2, 37C, 24h
57622T	Blood agar, aerobic, 30°C
57623T	TGE agar, aerobic, 30°C, 4-5 days
57624T	Blood agar, aerobic, 37°C, 4-5 days
57618T	Blood agar, aerobic, 30-37°C, 24h
57608T	Marine agar, aerobic, 30°C, 2-3 days
57609T	NA
57610T	NA
57612T	NA
57578T	Chocolate or TSA agar, aerobic, 28°C, 3-7 days
57579T	Blood agar or TSA, aerobic, 30°C, 48h
57540T	Chocolate agar, CO2, 37°C
57524T	Marine agar, aerobic, 30°C
57505T	TSA agar, aerobic, 30°C, 7 days
57506T	TSA agar, aerobic, 30°C, 7 days
57507T	TSA agar, aerobic, 30°C, 7 days
57508T	TSA agar, aerobic, 30°C, 7 days
57509T	TSA agar, aerobic, 30°C, 7 days
57498T	Blood agar, microaerobic, 37°C, 48h
57478T	Blood agar, anaerobic, 37°C, 48h
57479T	Marine agar, aerobic, 30°C, ?h
57471T	Marine agar, aerobic, 30°C
57457T	Blood agar, aerobic, 30°C, 24h
57456T	Blood agar, aerobic, 30°C
57438T	R2A agar, aerobic, 25-30°C, 1-2 days
57423T	NA
57424T	NA
57425T	NA
57426T	Blood agar or TSA, aerobic, 28°C, 3-7 days
57401T	R2A agar, aerobic, 30°C, 3-5 days
57388T	Blood agar, aerobic, 30-37°C
57389T	Chocolate agar, aerobic, 30°C, 48h
57390T	Blood agar, aerobic, 30°C, 3-7 days
57335T	Sheep blood agar, CO2, 37°C, 24h
57310T	Blood agar, microaerobic, 37°C, 48h
57284T	TSA agar, aerobic, 30°C, 48h
57279T	Blood agar, CO2, 37°C
57266T	Blood agar, aerobic, 37°C
57263T	Blood agar, aerobic, 30-37°C, ??h
57265T	R2A agar, aerobic, 30-37°C, 24h
57219T	Chocolate agar (or blood agar), anaerobic, 37°C
57211T	Chocolate (or blood) agar, anaerobic, 37°C, 1-2 days
57199T	Blood agar, aerobic, 30°C
57200T	Nutrient agar, aerobic, 30°C
57201T	Nutrient agar, aerobic, 30°C
57203T	Blood agar, aerobic, 30-37°C
57178T	Blood agar, aerobic, 30°C, 48h
57117T	TSA or blood agar, aerobic, 37°C, 48h
57100T	Blood agar, anaerobic, 37°C, 48h
57101T	? agar, aerobic, ?°C
57102T	Blood agar or TSA, aerobic, 30-37°C
57103T	Nutrient agar or blood agar, aerobic, 30°C
57109T	Blood agar, aerobic, 30°C
57110T	BHI or chocolate agar, anaerobic, 37°C
57111T	Marine agar, aerobic, 30°C
57112T	Chocolate agar or 7H10 agar, CO2, 37°C, 3 days
57113T	Nutrient agar, aerobic, 30°C
57114T	Marine agar, aerobic, 25°C
57081 TT	NA
57044T	TSA, aerobic, 30°C, 48h
57045T	Chocolate agar, anaerobic, 37°C, 3 days
57046T	Chocolate agar, CO2, 37°C, 2 days
56962T	Blood agar or R2A, aerobic, 30°C, 3-4 days
56963T	Blood agar or TSA, aerobic, 30°C, 24h
56966T	Blood agar (or marine agar), aerobic, 30°C
56967T	Marine agar, aerobic, 30°C
56968T	Marine agar, aerobic, 30°C
56969T	Marine agar, aerobic, 30°C
56970T	Blood agar (or marine agar), aerobic, 30°C
56971T	Marine agar, aerobic, 30°C
56972T	Marine agar, aerobic, 30°C
56973T	Chocolate agar (or blood agar), anaerobic, 3 days
56974T	Chocolate agar (or blood agar), anaerobic, 37°C, 3 days
56899T	Blood agar, microaerobic, 30°C, 24-48h
56902T	Blood agar, microaerobic, 30°C, 24-48h, (there is no growth under microaerobic conditions at 37°C)
56874T	Chocolate agar, CO2, 37°C
56827T	NA
56828T	Blood agar or TSA, aerobic, 37°C, 24h
56815T	Chocolate agar or BHI agar, anaerobic, 37°C, 48-72h
56787T	TGE agar, aerobic, 30°C, 48h
56788T	R2A, aerobic, 30°C, 4days
56773T	Blood agar, aerobic, 30°C
56774T	NA
56775T	Blood agar, aerobic, 37°C
56776T	Rhizobium agar, aerobic, 30°C, 3days
56777T	Blood agar or TSA, aerobic, 30°C, 48h
56778T	Marine agar, aerobic, 30°C
56779T	Marine agar, aerobic, 30°C
56780T	Marine or Blood agar, aerobic, 30-37°C
56751T	Marine agar, aerobic, 30°C, 24h
56752T	Marine agar, aerobic, 30°C, 48h
56753T	TSA+10%NaCl agar, aerobic, 37°C, 5 d
56754T	Marine agar, aerobic, 30°C, 72h
56755T	TSA+10%NaCl agar, aerobic, 37°C, 5 d
56756T	Marine agar, aerobic, 30°C, 24h
56757T	Marine agar, aerobic, 30°C, 5 d
56758T	Marine agar, aerobic, 30°C, 72h
56741T	Blood agar, prereduced, anaerobic, 37°C, 48hours (CCUG) or according to the depositor's published method
56719T	R2A agar, aerobic, 30°C, 3-5 days
56720T	R2A or TGE agar, aerobic, 22°C, 3-5 days
56721T	Saboraud or blood agar, aerobic, 30°C, 24h
56722T	Saboraud agar (or blood agar), aerobic, 30°C, 24h
56723T	Saboraud agar, aerobic, 30°C, 24h
56725T	Saboraud agar, aerobic, 30°C, 48h
56714T	Blood agar or nutrient agar, aerobic, 37°C, 48h
56698T	Blood agar, CO2 or anaerobic, 37°C
56607T	Marine agar, aerobic, 43-42°C, 24h
56608T	BHI agar with 5% NaCl, aerobic, 37°C, 24h, (growth is NOT optimal on marine agar)
56610T	Chocolate agar, anaerobic, 37°C, 48h
56611T	Chocolate agar, anaerobic, 37°C, 48h
56586T	7H10 agar, CO2, 37°C, 6 days
56587T	Chocolate agar, CO2, 37°C, 48h
56589T	Chocolate agar, CO2, 37°C
56590T	Blood agar, aerobic, 30-37°C
56567T	Nutrient agar, aerobic, 37°C, 24h
56483T	Blood agar, aerobic, 30-37°C
56484T	Blood agar, aerobic, 30°C
56486T	NA
56487T	Blood agar, aerobic, 37°C, 24h
56478T	Blood agar, aerobic, 37°C
56438T	Blood agar, aerobic, 37°C
56439T	Blood agar, aerobic, 30°C
56440T	Blood agar, aerobic, 30-37°C
56441T	NA
56442T	Chocolate agar, anaerobic, 37°c, 24h
56446T	MRS agar, anaerobic, 37°C, 48h
56447T	Blood agar, aerobic, 30°C
56449T	Blood agar, aerobic, 30°C, 48 hours
56399T	R2A or TGE agar, aerobic, 30°C
56400T	R2A agar, aerobic, 30°C
56401T	Blood agar, aerobic, 30-37°C, 2-3days
56325T	Too slow growing and too fastidious for CFA analysis
56331T	NA
56316T	Blood agar, aerobic, 30-37°C, 24h
56317T	Blood agar, aerobic, 30-37°C, 24h
56304T	TGE agar, aerobic, 30°C
56305T	NA
56306T	Blood agar or R2A or TGE, aerobic, 30°C
56307T	Blood agar, aerobic, 30°C, 3 days
56308T	Blood agar, aerobic, 30°C
56309T	Blood agar, aerobic, 30°C, 3 days
56311T	NA
56371T	Blood agar, aerobic, 30°C
56289T	Blood agar, microaerobic, 37°C, 3days
56292T	Blood agar, microaerobic, 37°C, 5-7days
56181T	Blood agar or malt agar, aerobic, 42-45°C, 3 days
56310T	R2A or TGE agar, aerobic, 30°C, 3 days
56148T	Blood agar, CO2, 37°C
56137T	Chocolate agar, anaerobic, 37°C, 48h
56105T	Blood agar, anaerobic, 37°C, 48h
56107T	Blood agar, aerobic, 30°C, 4-7 days
56108T	R2A agar, aerobic, 30°C, 48-72h
56109T	NA
56098T	Marine agar, aerobic, 22-30°C, 24h, growth stimulated by protein
56065T	Blood agar, anaerobic, 37°C, 72h, very sparce growth, prereduced medium may improve growth
56067T	Chocolate agar, anaerobic, 37°C, 48-72h
56051T	Blood agar, aerobic, 37°C
56047T	Chocolate agar, CO2, 37°C
56031T	NA
56032T	R2A agar, aerobic, 30°C, 48h
56034T	Blood agar, anaerobic, 37°C, 48h
56035T	Blood agar, aerobic, 30°C
56036T	Chocolate agar, anaerobic, 37°C, 2 days
56037T	Blood agar, aerobic, 37°C
56038 AT	FAA or chocolate agar, anaerobic, 37°C, 48h
56039T	TSA, aerobic, 30°C
56041T	TSA or Mn, aerobic, 56°C, (no growth at 37°C, suboptimal growth at 42°C
56042T	NA
56015T	Blood agar, aerobic, 30°C
56017T	Chocolate agar, anaerobic, 37°C, 48 hours
55995T	RM-agar, aerobic, pH 7.2, 28-30°C
55996T	RM-agar, aerobic, pH 7.2, 28-30°C
55998T	R2A agar, aerobic, 30°C
56028T	RM-agar, aerobic, pH 7.2, 28-30°C
56029T	R2A-agar, aerobic, pH 7.2, 28-30°C
56058T	Blood agar, aerobic, 30°C
55975T	Blood agar or Löwenstein-Jensen agar, aerobic, 30°C, 72h
55976T	Chocolate agar, anaerobic, 37°C, 4 days
55979T	Chocolate agar, anaerobic, 37°C, 4 days
55942T	R2A or TGE agar, aerobic, 30°C, 24-48h
55948T	Blood agar, aerobic, 30°C, 18h
55927T	Blood agar, CO2, 37°C
55928T	Chocolate agar, CO2, 37°C
55929T	Chocolate agar, anaerobic, 37°C, 72h
55916T	Blood or Chocolate agar, CO2, 42°C, 3 days
55902T	R2A or TGE agar, aerobic, 30°C
55903T	TGE, R2A (or Sabouraud agar), aerobic, 30°C, 48h
55904T	TGE or R2A, aerobic, 30°C, 48h, facultative methylotroph
55905T	R2A (or TGE agar), aerobic, 30°C
55906T	Blood agar, aerobic, 30°C, 48h, facultative methylotroph
55907T	R2A or TGE agar, aerobic, 30°C
55908T	R2A, aerobic, 30°C, 72h
55896T	Blood agar, CO2, 30-37°C
55877T	NA
55850T	Blood agar, aerobic, 30°C
55851T	Blood agar, aerobic, 30°C
55852T	NA
55853T	NA
55854T	Blood agar, aerobic, 37°C
55855T	Blood agar, aerobic, 37°C
55856T	NA
55857T	Marine agar, aerobic, 20°C, 2-3 days
55858T	Marine agar, aerobic, 20°C, 2-3 days
55859T	Marine agar, aerobic, 20°C, 2-3 days
55860T	Marine agar, aerobic, 20°C, 2-3 days
55861T	Blood agar, aerobic, 37°C
55836T	Chocolate agar, anaerobic, 37°C, 48h
55806T	Blood agar, aerobic, 37°C
55807T	NA
55808T	NA
55809T	NA
55795T	Chocolate agar, CO2, 30°C
55786T	Blood agar, microaerophilic, 37°C, 3 days
55787T	Blood agar, microaerophilic, 37°C, 3 days
55773T	Chocolate agar, anaerobic, 37°C, 3 days
55771T	Blood agar, aerobic, 30°C
55772T	Blood or TSA agar, aerobic, 30-37°C
55774T	Blood or chocolate agar, CO2 (or microaerophilic), 37°C
55775T	Blood agar, CO2, 37°C
55776T	Blood agar, CO2, 37°C
55760T	Marine agar, aerobic, 30°C, 2 days
55750T	NA
55751T	Blood or chocolate agar, CO2, 37°C
55752T	Blood agar, aerobic, 30-37°C
55753T	Blood agar, aerobic, 30-37°C
55727T	Chocolate agar, CO2, 37°C
55703T	Blood agar (or TSA), aerobic, 30°C, 48h
55698T	Blood agar, aerobic, 30°C, 3 days
55700T	Nutrient agar or blood agar, aerobic, 30°C
55648T	NA
55631T	Blood agar, CO2, 37°C
55632T	Blood agar, CO2, 37°C
55633T	NA
55635T	7H10-agar, CO2, 37°C, slow growing
55636T	Chocolate agar, CO2, 37°C, 48h
55639T	Slow growing
55640T	7H10 agar, CO2, 3-5 days
55604T	Nutrient agar with NaCl, aerobic, 30°C
55606T	R2A agar, aerobic, 30°C, 48h
55608T	R2A agar, aerobic, 30°C
55609T	Blood agar, aerobic, 37°C
55582T	Chocolate agar, anaerobic, 37°C, 24h
55585T	Blood agar, aerobic, 30°C, 48h
55589T	Blood agar, aerobic, 30°C
55590T	TSA, aerobic, 30°C
55591T	Blood agar, aerobic, 30°C
55592T	NA
55593T	Chocolate agar, anaerobic, 37°C, 48h
55595T	Blood agar, anaerobic, 37°C, 48h
55596T	NA
55597T	NA
55598T	R2A agar, aerobic, 37°C, 48-72h
55599T	Chocolate agar, anaerobic or CO2, 37°C
55525T	Blood agar, aerobic, 37°C
55526T	Blood agar, aerobic, 37°C
55516T	Blood agar, 37°C, 48h
55508T	Blood agar, CO2, 37°C
55483T	7H10 medium, CO2, 37°C, slowly growing, 30days
55486T	Blood or TSA agar, aerobic, 30-37°C, 48h
55487T	TSA agar, aerobic, 30°C, 48h
55488T	TSA agar, aerobic, 30°C, 24h
55489 AT	TCSA agar, aerobic, 30°C, 24h
55490T	Marine or blood agar, aerobic, 30-37°C
55491T	TGE agar (or R2A), aerobic, 30°C, 4-5days
55494T	Blood agar, aerobic, 30°C
55495T	TCSA agar, aerobic, 30°C, 24h
55496T	Blood agar, aerobic, 30-37°C, 24h
55497T	TCSA agar, aerobic, 30°C, 72h
55499T	Blood agar, aerobic, 30-37°C, 24h
55501T	BHI agar, aerobic, 30°C, 24h
55454T	Chocolate agar, anaerobic, 37°C
55431T	Blood agar, aerobic, 30-37°C
55420T	TSA, aerobic, 56°C
55421T	Chocolate agar, anaerobic, 37°C
55422T	Blood agar, aerobic, 37°C
55423T	Chocolate agar, anaerobic, 37°C, 24h
55425T	Blood agar, CO2, 37°C
55411T	NA
55412T	NA
55424T	Blood agar, anaerobic, 37°C
55397T	Marine agar or blood agar, aerobic, 30°C
55408T	Blood agar, aerobic, 30°C
55340T	Marine agar, aerobic, 30°C
55324T	Marine agar, aerobic, 30°C, 48h
55325T	Marine agar, aerobic, 30°C, 48h
55326T	Marine agar, aerobic, 30°C, 2 days
55327T	Marine agar, aerobic, 30°C, 24h
55328T	NA
55329T	Marine agar, aerobic, 25-30°C, 7 days
55407T	Chocolate agar, anaerobic, 37°C, 48h
55298T	Marine agar, anaerobic, 37°C, 7 days
55265T	Chocolate agar/blood agar, anaerobic, 37°C, 48h, an extremely fastidious strain
55250T	Blood or TSA agar, aerobic, 30°C
55251T	TSA, aerobic, 30°C
55240T	Blood agar, aerobic, 37°C
55175T	Blood agar, aerobic, 30°C, 24-48h
55176T	Blood agar, aerobic, 30°C, 48h
55129T	R2A agar, aerobic, 30°C
55130T	TSA agar, aerobic, 30°C
55131T	Chocolate agar, anaerobic, 37°C, 48h
55099T	Chocolate agar, 30-37°C, 48h
55073T	TGE agar, aerobic, 30°C, 48h
55074T	TGE-agar, aerobic, 30°C, 48-72h
