CCUG Number	cond
73386T	Blood agar, aerobic, 37°C
73387T	Blood agar, aerobic, 30°C
73388T	Blood agar, aerobic, 30°C
73389T	Blood agar, aerobic, 37°C, 48h
73390T	Blood agar, aerobic, 30-37°C, 48h
73276T	Blood agar, aerobic, 30°C
73139T	Chocolate agar, CO2, 37°C
73096T	Blood agar, aerobic, 30°C
72808T	Chocolate agar, anaerobic, 37°C, 48h
72809T	Chocolate agar, anaerobic, 37°C, 24h
72814T	Chocolate agar, anaerobic, 37°C, 48h
72815T	Chocolate agar, anaerobic, 37°C, 48h
72816T	Chocolate agar, anaerobic, 37°C, 48h
72817T	Chocolate agar, anaerobic, 37°C, 48h
72818T	Chocolate agar, anaerobic, 37°C, 48h
72762T	Chocolate agar, CO2, 37°C
72763T	Blood agar, aerobic, 37°C
72509T	Chocolate agar, CO2, 37°C
72425T	Chocolate agar, anaerobic, 37°C, 24-48h
72427T	Chocolate agar, anaerobic, 37°C, 24-48h
72429T	Chocolate agar, anaerobic, 37°C, 24-48h
72092T	Chocolate agar, anaerobic, 37°C, 72-96h
72399T	R2A agar, aerobic, 30°C, 2d
72353T	Blood agar, anaerobic, 37°C, 48-72h
72355T	TSA agar, aerobic, 56°C, 24-48h
72345T	Chocolate agar, anaerobic, 37°C, 48h
72321T	Blood agar, aerobic, 30°C
72322T	Blood agar, aerobic, 30°C
72323T	Chocolate agar, CO2, 37°C
72324T	NA
72325T	Chocolate agar, CO2, 37°C
72292T	Chocolate agar, CO2, 37°C, 48h
72269T	Blood agar, aerobic, 37°C
72270T	Blood agar, aerobic, 37°C
72271T	Blood agar, aerobic, 37°C
72241T	Blood agar, aerobic, 37°C, 24h
72164T	Blood agar, aerobic, 30°C, 48h
72165T	Chocolate agar, CO2, 37°C, 24h
72166T	Chocolate agar, CO2, 37°C, 24h
72167T	Chocolate agar, CO2, 37°C, 24h
72126T	7H10 agar, CO2, 37°C, 3-6 days
72127T	7H10 agar, CO2, 37°C, 7 days
72128T	7H10 agar, CO2, 37°C, 10 days
71989T	Blood agar, aerobic, 30°C
71912T	Blood agar, aerobic, 37°C
71898T	Chocolate agar, anaerobic, 37°C, 48h
71848T	MRS agar, anaerobic, 37°C, 48h
71842T	Chocolate agar, anaerobic, 37°C, 48h
71359T	Chocolate agar, anaerobic, 37°, 2d
71632T	Chocolate agar, anaerobic, 37°C, 96h
71633T	Chocolate agar, anaerobic, 37°C, 48h
71568T	Chocolate agar, anaerobic, 37°C, 48h
71558T	Blood agar, aerobic, 30°C
71550T	Chocolate agar, anaerobic, 37°C, 48h
71488T	Chocolate agar, anaerobic, 37°C, 4 days
71489T	Chocolate agar, anaerobic, 37°C, 24h
71490T	FAA agar, anaerobic, 37°C, 96h
71370T	Blood or marine agar, aerobic, 30°C
71356T	Chocolate agar, anaerobic, 37°, 2d
71357T	Chocolate agar, anaerobic, 37°, 2d
71358T	Chocolate agar, anaerobic, 37°, 48h
71360T	Chocolate agar, anaerobic, 37°, 48h
71291T	Blood agar, aerobic, 37°, 1d
71276T	Blood agar, microaerobic, 37°C, 24h
71182T	Chocolate agar, anaerobic, 37°C, 2d
71183T	Chocolate agar, anaerobic, 37°, 1-2d
70981T	Marine agar, aerobic, 37°C, 48h
70959T	Chocolate agar, anaerobic, 37°C, 48h
70960T	Chocolate agar, anaerobic, 37°C, 48h
70961T	Chocolate agar, anaerobic, 37°C, 48h
70962T	Chocolate agar, anaerobic, 37°C, 48h
70963T	Chocolate agar, anaerobic, 37°C, 48h
70964T	Chocolate agar, anaerobic, 37°C, 48h
70947T	Chocolate agar, anaerobic, 37°C, 3days
70915T	Blood agar, aerobic, 37°C, 24h
70916T	Blood agar, aerobic, 37°C, 24h
70917T	Blood agar, aerobic, 37°C, 24h
70918T	Blood agar, aerobic, 37°C, 24h
70919T	Blood agar, aerobic, 30°C, 24h
70920T	Blood agar, aerobic, 37°C, 24h
70863T	Chocolate agar, CO2, 37°C
70864T	Chocolate agar, CO2, 37°C
70865T	Blood agar, CO2, 37°C
70866T	Blood agar, CO2, 37°C
70867T	Chocolate agar, CO2, 37°C
70868T	Chocolate agar, CO2, 37°C
70857T	Chocolate agar, CO2, 37°C
70858T	Chocolate agar, CO2, 37°C
70831T	Blood agar, CO2, 37°C
70832T	Blood agar, CO2, 37°C
70816T	Blood agar, aerobic, 30°C
70817T	Blood agar, CO2, 37°C
70711T	Chocolate or FAA agar, anaerobic, 37°C, 3days
70680T	Chocolate agar, anaerobic, 37°C, 3days
70681T	Chocolate agar, anaerobic, 37°C, 3-4days
70682T	Chocolate agar, anaerobic, 37°C, 2days
70655 AT	NA
70632T	Chocolate agar, anaerobic, 37°C, 24h
70622T	Chocolate agar, anaerobic, 37°C, 48h
70601T	Blood+methanol agar, aerobic, 37°C, 24h
70602T	R2A agar + Methanol, aerobic, 30°C, 48h
70587T	Blood agar, microaerobic, 37°C, 2-3 days
70550T	Chocolate agar, anaerobic, 30°C, 2 days
70551T	FAA or Chocolate agar, anaerobic, 37°C, 78h
70546T	7H10 agar, aerobic, 30°C
70547T	Blood agar, aerobic, 30°, 24h
70536T	Chocolate agar, CO2, 37°
70613T	Marine agar, aerobic, 37°C, 48h
70143T	Chocolate agar, anaerobic or CO2, 37°C, 2d
70388T	TSA agar, aerobic, 37°C
70390T	Chocolate or FAA agar, anaerobic, 37°C, 4days
70327T	Chocolate agar, anaerobic, 37°C, 2days
70328T	Chocolate agar, anaerobic, 37°C, 2days
70329T	Chocolate agar, anaerobic, 37°C, 2days
70281T	Chocolate or FAA agar, anaerobic, 37°C, 7d
70282T	Chocolate agar, anaerobic, 37°C, 1d
70284T	FAA agar, anaerobic, 37°C, 48h
70237T	R2A agar, aerobic, 30°C, 48h
70177T	Blood or TSA agar, aerobic, 37°C
70178T	Blood or TSA agar, aerobic, 37°C
70144T	Chocolate agar, anaerobic, 37°C, 7d
69668T	Chocolate agar, CO2, 37°C
69890T	TSA agar, aerobic, 37°C, 24h
69891T	Blood or TSA agar, aerobic, 37°C, 24h
69892T	TSA agar, aerobic, 37°C, 24h
69893T	Chocolate agar, anaerobic, 37°C, 1 day
69896T	Blood agar, aerobic, 37°C, 24h
69858T	Blood agar, aerobic, 37°C
69806T	Chocolate agar, CO2, 37°C, 24h
69738T	TSA agar, aerobic, 37°C, 24h
69739T	TSA agar, aerobic, 37°C, 24h
69700T	Blood agar, aerobic, 30°C
69701T	Blood agar, aerobic, 30°C
69702T	Blood agar, aerobic, 30°C
69703T	Blood agar, aerobic, 30°C
69706T	Blood agar, aerobic, 30°C
69707T	Blood agar, aerobic, 30°C
69709T	Blood agar, aerobic, 30°C
69710T	Blood agar, aerobic, 30°C
69678T	NA
69679T	NA
69665T	Chocolate agar, CO2, 37°C
69666T	Blood or chocolate agar, CO2, 37°C
69667T	Chocolate or blood agar, CO2, 37°C, 1 day
69669T	Blood agar, CO2, 37°C
69661T	R2A agar, aerobic, 30°C, 7d
69621T	Chocolate agar, CO2, 37°C
69622T	FAA agar, anaerobic, 30°C, 2d
69625T	Blood agar, aerobic, 30°C
69612T	Chocolate or blood agar, CO2, 37°C, 24h
69580T	Blood agar, aerobic, 30°C
69581T	Blood agar, aerobic, 30°C, 3 days
69583T	Blood agar, aerobic, 30°C
69584T	Blood agar, aerobic, 30°C
69570T	Blood agar, microaerobic, 37°C
69496T	Blood agar, aerobic, 30°C
69503T	Blood agar, aerobic, 30°C
69505T	Blood agar, aerobic, 30°C
69482T	FAA agar, microaerobic, 37°C
69378T	Chocolate agar, CO2, 37°C
69366T	Marine agar, aerobic, 30°C
69273T	Blood agar, aerobic, 30°C
69277T	Blood agar, CO2, 37°C, 24h
69239T	Blood agar, aerobic, 30°C, 24h
69192T	Blood agar, aerobic, 30°C, 24h
69147T	Chocolate agar, CO2, 37°C
69148T	Chocolate agar, CO2, 37°C
68999T	Blood agar with 50%MeOH/50%Fys, aerobic, 37°C, 2 days
68920T	Blood agar, aerobic, 37°C
68827T	Blood or chocolate agar, CO2, 37°C
68785T	Blood agar, aerobic, 30°C
68786T	Blood agar, aerobic, 37°C
68726T	Blood agar, aerobic, 30°C
68730T	Blood agar, aerobic, 30°C
68698T	Marine agar, aerobic, 42°C, 10 days
68672T	Blood or TSA agar, aerobic, 30°C
68674T	Blood or TSA agar, aerobic, 30°C
68650T	Blood agar, microaerobic, 37°C
68478T	Blood agar, aerobic, 30°C
68479T	Chocolate agar, CO2, 37°C
68482T	Blood agar, aerobic, 30°C
68430T	Chocolate agar, anaerobic, 37°C, 24h
68431T	Blood agar, aerobic, 30°C, 1 day
68432T	Blood agar, aerobic, 30°C, 2 days
68403T	Blood agar, aerobic, 30°C
68404T	R2A agar, aerobic, 30°C
68405T	R2A agar, aerobic, 30°C
68406T	Blood agar, aerobic, 30°C
68407T	Blood agar, aerobic, 30°C
68408T	Blood agar, aerobic, 30°C
68409T	Blood agar, aerobic, 30°C
68410T	Blood agar, aerobic, 30°C
68411T	Blood agar, aerobic, 30°C
68412T	Blood agar, aerobic, 30°C
68413T	Blood agar, aerobic, 30°C
68414T	Blood agar, aerobic, 30°C
68415T	Blood agar, aerobic, 30°C
68283T	Chocolate agar, CO2, 37°C
68107T	Chocolate agar, aerobic, 42°C, 6-7 days
67960T	Blood agar, aerobic, 30°C, 24h
67961T	Blood agar, aerobic, 30°C, 24h
67962T	Blood agar, aerobic, 30°C, 24h
67963T	Blood agar, aerobic, 30°C, 24h
67964T	Blood agar, aerobic, 30°C, 24h
67965T	Blood agar, aerobic, 30°C, 24h
67966T	Blood agar, aerobic, 30°C, 24h
67967T	Blood agar, aerobic, 30°C, 24h
67887T	?? agar, CO2, 37°C
67844T	Marine agar, aerobic, 30°C, 24-48h
67636T	Blood agar, CO2, 37°C
67583T	Blood agar, aerobic, 30°C
