Name	Strain	Temp	Source_ID	Genome
Bacillus alcalophilus	NCTC 4553	30	CECT 1	GCA_000292245.2
Paenibacillus alvei	NCTC 6352	30	CECT 2	GCA_000293805.1
Bacillus circulans	NCTC 2610	30	CECT 10	GCA_900445325.1; GCA_001591585.1
Bacillus coagulans	CIP 66.25	30	CECT 12	GCA_000832905.1; GCA_000420205.1; GCA_000290615.1
Bacillus firmus	NCTC 10335	30	CECT 14	GCA_001591465.1
Brevibacillus laterosporus	NCTC 6357	30	CECT 15	GCA_000374385.1; GCA_002706795.1
Bacillus badius	NCTC 10333	30	CECT 17	GCA_001591605.1
Bacillus lentus	NCTC 4824	30	CECT 18	GCA_900478165.1; GCA_001591545.1
Bacillus licheniformis	NCTC 10341	37	CECT 20	GCA_000011645.1; GCA_000008425.1
Paenibacillus macquariensis	NCTC 10419	20	CECT 24	GCA_001637165.1; GCA_900156375.1
Bacillus pumilus	NCTC 10337	30	CECT 29	GCA_000172815.1; GCA_900186955.1
Lysinibacillus sphaericus	NCTC 10338	30	CECT 33	GCA_002982115.1; GCA_000427235.1
Bacillus subtilis	NCTC 8236	30	CECT 35	
Bacillus subtilis	NCIB 8993	30	CECT 36	
Bacillus atrophaeus	NCIB 8058	30	CECT 38	
Bacillus subtilis	NR Smith 1315	30	CECT 39	GCA_000155325.1
Bacillus sp	Bacillus sp.	30	CECT 40	
Virgibacillus pantothenticus	NCTC 8162	30	CECT 42	GCA_001189575.1; GCA_900156795.1
Geobacillus stearothermophilus	CIP 66.23	55	CECT 43	GCA_001277805.1
Bacillus megaterium	ATCC 25848	30	CECT 44	
Escherichia coli	NCIB 86	37	CECT 45	
Geobacillus stearothermophilus	NCDO 1780	55	CECT 47	
Geobacillus stearothermophilus	Bacillus stearothermophilus var. calidolactis	55	CECT 48	
Geobacillus stearothermophilus	NCIMB 8919	55	CECT 49	
Kocuria rosea	NCTC 7523	30	CECT 52	GCA_003124035.1
Staphylococcus aureus	NCIMB 6571	37	CECT 59	
Brevibacterium linens	NCIMB 9909	30	CECT 69	GCA_900169165.1
Corynebacterium glutamicum	ATCC 21798	30	CECT 70	
Corynebacterium glutamicum	ATCC 21801	30	CECT 71	
Corynebacterium ammoniagenes	ATCC 19350	30	CECT 72	
Corynebacterium glutamicum	ATCC 21086	30	CECT 74	
Brevibacterium linens	ATCC 19391	30	CECT 75	
Brevibacterium aurantiacum	NCIMB 8546	30	CECT 76	GCA_900169065.1
Corynebacterium glutamicum	ATCC 13869	30	CECT 77	
Corynebacterium glutamicum	ATCC 13287	30	CECT 78	
Corynebacterium glutamicum	ATCC 21253	30	CECT 79	
Corynebacterium glutamicum	ATCC 21254	30	CECT 80	
