Source_ID	ncbiTaxID	Name	Type	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
27	524	Acidiphilium cryptum	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium
28	524	Acidiphilium cryptum	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium
29	524	Acidiphilium cryptum	growth	37	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium
30	1307921	Acidiphilium acidophilum	growth	26	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium
30	1307921	Acidiphilium acidophilum	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium
31	62140	Acidiphilium multivorum	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidiphilium
32	1120923	Acidiphilium aminilyticum	growth	37	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidocella
33	1231351	Acidomonas methanolica	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidomonas
34	1307927	Asaia siamensis	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Asaia
35	1236500	Asaia astilbis	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Asaia
35	1236500	Asaia astilbis	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Asaia
36	1236525	Asaia platycodi	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Asaia
36	1236525	Asaia platycodi	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Asaia
37	1236502	Asaia prunellae	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Asaia
37	1236502	Asaia prunellae	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Asaia
38	1121106	Belnapia moabensis	optimum	25	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Belnapia
39	938405	Belnapia rosea	optimum	28-32	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Belnapia
40	272568	Gluconacetobacter diazotrophicus	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter
40	272568	Gluconacetobacter diazotrophicus	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter
41	89584	Gluconacetobacter liquefaciens	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter
41	89584	Gluconacetobacter liquefaciens	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter
42	1307940	Gluconacetobacter sacchari	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter
42	1307940	Gluconacetobacter sacchari	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter
43	1307932	Gluconacetobacter azotocaptans	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter
43	1307932	Gluconacetobacter azotocaptans	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter
43	1307932	Gluconacetobacter azotocaptans	growth	29	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter
44	112140	Gluconacetobacter johannae	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter
44	112140	Gluconacetobacter johannae	growth	29	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter
44	112140	Gluconacetobacter johannae	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter
45	1234672	Komagataeibacter kakiaceti	growth	15-30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
45	1234672	Komagataeibacter kakiaceti	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
45	1234672	Komagataeibacter kakiaceti	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Komagataeibacter
46	442	Gluconobacter oxydans	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
46	442	Gluconobacter oxydans	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
47	442	Gluconobacter oxydans	growth	25	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
48	442	Gluconobacter oxydans	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
48	442	Gluconobacter oxydans	growth	26	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
49	442	Gluconobacter oxydans	growth	26	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
50	442	Gluconobacter oxydans	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
51	442	Gluconobacter oxydans	growth	25	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
51	442	Gluconobacter oxydans	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
52	442	Gluconobacter oxydans	growth	26	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
52	442	Gluconobacter oxydans	growth	25-30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
52	442	Gluconobacter oxydans	growth	25	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
52	442	Gluconobacter oxydans	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
53	38308	Gluconobacter frateurii	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
53	38308	Gluconobacter frateurii	growth	34	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
53	38308	Gluconobacter frateurii	growth	33	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
53	38308	Gluconobacter frateurii	growth	26	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
53	38308	Gluconobacter frateurii	growth	25	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
54	1876758	Gluconobacter sp.	growth	25	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
54	1876758	Gluconobacter sp.	growth	26	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
55	38307	Gluconobacter cerinus	growth	26	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
55	38307	Gluconobacter cerinus	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
56	38307	Gluconobacter cerinus	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
56	38307	Gluconobacter cerinus	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
57	38307	Gluconobacter cerinus	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter
58	153496	Kozakia baliensis	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Kozakia
58	153496	Kozakia baliensis	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Kozakia
59	1071	Rhodopila globiformis	growth	25	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Rhodopila
60	35813	Roseococcus thiosulfatophilus	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseococcus
61	455361	Roseococcus suduntuyensis	growth	25	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseococcus
62	1123072	Rubritepida flocculans	growth	50	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Rubritepida
63	231053	Saccharibacter floricola	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Saccharibacter
64	94	Stella humosa	optimum	28-30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Stellaceae	Stella
65	217070	Stella vacuolata	optimum	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Stellaceae	Stella
66	1264899	Zavarzinia compransoris	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Zavarziniaceae	Zavarzinia
67	50715	Acidisphaera rubrifaciens	optimum	30-35	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidisphaera
68	198093	Roseomonas ludipueritiae	growth	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas
68	198093	Roseomonas ludipueritiae	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas
69	198092	Muricoccus roseus	optimum	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas
70	207340	Roseomonas mucosa	growth	28	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas
71	287609	Roseomonas lacus	optimum	30	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Neoroseomonas
72	373043	Roseomonas aquatica	optimum	25.0-28.0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Paeniroseomonas
