ncbiTaxID	Genome	Superkingdom	Phylum	Class	Order	Family	Genus
1315271	GCA_007991235.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
1315275	GCA_014925285.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
1315279	GCA_014918315.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
1315280	GCA_014858745.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
1315283	GCA_001465295.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
1323731	GCF_019733275.1	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Nocardiopsaceae	Streptomonospora
1341155	GCA_000498515.1	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
1348624	GCA_001591545.1	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Lederbergia
1348634	GCA_001592125.1	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium
1353536	GCA_000485795.1	Bacteria	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
1358423	GCA_000722885.1	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
1385518	GCA_000768675.1	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Intrasporangiaceae	Knoellia
1417673	GCA_000504565.2	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula
1434108	GCA_000970025.1	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
1434114	GCA_000970225.1	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
1434115	GCA_000970185.1	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
1434117	GCA_000970165.1	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
1450533	GCF_003184595.1	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
