Name	Strain	Temp	ncbiTaxID	Source_ID	Superkingdom	Phylum	Class	Order	Family	Genus
Chromohalobacter salexigens	CHR183	37.0	158080	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Chromohalobacter salexigens	CHR183	37.0	158080	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Chromohalobacter salexigens	CHR183	37.0	158080	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Chromohalobacter salexigens	CHR183	37.0	158080	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Chromohalobacter salexigens	CHR183	37.0	158080	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Chromohalobacter salexigens	DSM 3043	30.0	290398	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Chromohalobacter salexigens	DSM 3043	30.0	290398	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADP1	30.0	62977	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADP1	30.0	62977	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADP1	30.0	62977	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADP1	30.0	62977	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADP1	30.0	62977	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADP1	30.0	62977	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADP1	30.0	62977	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADP331	30.0	202950	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADP331	30.0	202950	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADP331	30.0	202950	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADP331	30.0	202950	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADP331	30.0	202950	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADP331	30.0	202950	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADP197	30.0	202950	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADP197	30.0	202950	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADP197	30.0	202950	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADP197	30.0	202950	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADP197	30.0	202950	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADP197	30.0	202950	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADPU331	30.0	202950	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
Acinetobacter baylyi	ADPU331	30.0	202950	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus
