random_state	C	epsilon	TestR2	TestRMSE	ValR2	ValRMSE	TrainR2	TrainRMSE
random_state	C	epsilon	TestR2	TestRMSE	ValR2	ValRMSE	TrainR2	TrainRMSE
0	9995.040750381046	0.0019669773089321754	-0.04911696237810448	4.77309535112691	0.6569699092044003	8.173577051391533	0.7721321895340151	4.913639361100401
1	7.55741756044399	0.031518713103915304	0.04861524235532544	9.266939405464091	-0.18677948730549443	6.351501223072737	0.23195293876117984	8.94919550388697
2	3359.7672939152717	3.9262605452917465	-1.4626103274388695	8.831333443791967	0.7901552953105857	8.090530985342905	0.749979536217538	5.220288637287128
3	8917.199510898445	3.9784998554058717	0.6666440426080185	5.428980424240058	0.7344603127148637	11.067091063462074	0.5934280814285177	5.034966979424218
4	8176.32745873065	3.94653145829651	0.74290568260356	10.650412334602589	0.07054678278839521	10.202727664301204	0.6473814562087155	5.006758048256276
5	10.537906786848097	0.007895812498190708	-0.39372564097918317	7.625002535956348	-0.21425731981025375	3.729757354041657	0.32707351159820763	8.643472047333328
6	9587.15127249842	0.002644646023071987	-2.053419705533251	6.502279546201467	0.6621695765480674	8.44406130693882	0.7739007927215553	5.160745211349307
7	983.0970429516684	0.04476908854253309	0.3502495322917014	5.754743997565746	0.48018837172641116	8.161452677792536	0.7690144415853066	5.66475863821578
8	52.13117696956448	3.984278012969393	0.062176242516180036	5.1656287820142035	-1.2714574291024041	7.015708728788099	0.5189514361024257	7.611157598687639
9	698.4009174922929	0.24210120671760296	-12.246275139323878	5.401475352233459	0.06408009111279234	11.229773433525404	0.6990004391559506	5.671023131271575
