Temp	Name	Strain
23	Singulisphaera acidiphila	
23,5	Aeromonas salmonicida	
23,5	Chitinophaga pinensis	
23,5	Lactobacillus lindneri	
24	Salinispora arenicola	
24,5	Clavibacter michiganensis	
25	Aeromonas media	
25	Alcanivorax borkumensis	
25	Aliivibrio fischeri	
25	Azotobacter chroococcum	
25	Bdellovibrio bacteriovorus	
25	Beijerinckia indica	
25	Belliella baltica	
25	Catenulispora acidiphila	
25	Chlorobium phaeobacteroides	
25	Chlorobium phaeovibrioides	
25	Chloroherpeton thalassium	
25	Coraliomargarita akajimensis	
25	Crinalium epipsammum	
25	Hirschia baltica	
25	Leuconostoc citreum	
25	Leuconostoc gelidum	
25	Leuconostoc lactis	
25	Leuconostoc mesenteroides	
25	Marinomonas mediterranea	
25	Microlunatus phosphovorus	
25	Nakamurella multipartita	
25	Nocardioides dokdonensis	
25	Pedobacter heparinus	
25	Pseudarthrobacter chlorophenolicus	
25	Pseudoalteromonas luteoviolacea	
25	Roseobacter denitrificans	
25	Roseobacter litoralis	
25	Shewanella pealeana	
25	Sodalis glossinidius	
25	Spirosoma rigui	
25	Sporosarcina psychrophila	
25	Sporosarcina ureae	
25	Tatumella citrea	
25	Vibrio nigripulchritudo	
25,5	Rathayibacter toxicus	
25,5	Rathayibacter tritici	
26	Cellulophaga lytica	
26	Geodermatophilus obscurus	
26	Vibrio scophthalmi	
26,5	Agrobacterium rhizogenes	
26,5	Agrobacterium tumefaciens	
26,5	Agrobacterium vitis	
26,5	Bartonella bacilliformis	
26,5	Haliscomenobacter hydrossis	
27	Bacillus flexus	
27	Cupriavidus necator	
27	Ensifer adhaerens	
27	Pirellula staleyi	
27	Xylella fastidiosa	
27,5	Anaerotignum propionicum	
27,5	Asticcacaulis excentricus	
27,5	Blastochloris viridis	
27,5	Brachybacterium faecium	
27,5	Bradyrhizobium japonicum	
27,5	Brevundimonas subvibrioides	
27,5	Brevundimonas vesicularis	
27,5	Campylobacter fetus	
27,5	Caulobacter henricii	
27,5	Caulobacter vibrioides	
27,5	Chryseobacterium indologenes	
27,5	Coriobacterium glomerans	
27,5	Corynebacterium variabile	
27,5	Cyclobacterium amurskyense	
27,5	Cyclobacterium marinum	
27,5	Edwardsiella ictaluri	
27,5	Erythrobacter litoralis	
27,5	Flavobacterium columnare	
27,5	Flavobacterium johnsoniae	
27,5	Frateuria aurantia	
27,5	Gluconobacter oxydans	
27,5	Marichromatium purpuratum	
27,5	Mesorhizobium amorphae	
27,5	Mesorhizobium ciceri	
27,5	Mesorhizobium loti	
27,5	Methylobacterium extorquens	
27,5	Methylobacterium radiotolerans	
27,5	Methylobacterium zatmanii	
27,5	Microbacterium paludicola	
27,5	Pararhodospirillum photometricum	
27,5	Pseudodesulfovibrio aespoeensis	
27,5	Pseudomonas azotoformans	
27,5	Pseudomonas fulva	
27,5	Pseudomonas putida	
27,5	Rhizobium etli	
27,5	Rhizobium gallicum	
27,5	Rhizobium leguminosarum	
27,5	Rhizobium tropici	
27,5	Runella slithyformis	
27,5	Sanguibacter keddieii	
27,5	Sinorhizobium fredii	
27,5	Sinorhizobium medicae	
27,5	Sinorhizobium meliloti	
27,5	Starkeya novella	
27,5	Streptomyces albus	
27,5	Thioflavicoccus mobilis	
27,5	Xanthobacter autotrophicus	
27,5	Zymomonas mobilis	
28	Bacillus endophyticus	
28	Beutenbergia cavernae	
28	Burkholderia pyrrocinia	
28	Corynebacterium halotolerans	
28	Desulfobacula toluolica	
28	Desulfosporosinus meridiei	
28	Dyadobacter fermentans	
28	Gottschalkia acidurici	
28	Leifsonia xyli	
28	Microbacterium chocolatum	
28	Nocardiopsis alba	
28	Paenibacillus borealis	
28	Paenibacillus graminis	
28	Paenibacillus odorifer	
28	Paenibacillus stellifer	
