Temp	Name	Strain
46,5	Lactobacillus amylolyticus	
47	Deinococcus geothermalis	
47	Rubrobacter radiotolerans	
47,5	Chlorobaculum tepidum	
47,5	Flexistipes sinusarabici	
48	Acidimicrobium ferrooxidans	
48,5	Bacillus coagulans	
50	Mahella australiensis	
52	Heliobacterium modesticaldum	
52,5	Thermodesulfobium narugense	
53,5	Desulfurella acetivorans	
53,5	Hippea maritima	
55	Bacillus methanolicus	
55	Chloroflexus aggregans	
55	Desulfotomaculum nigrificans	
55	Meiothermus silvanus	
55	Syntrophothermus lipocalidus	
55	Thermanaerovibrio acidaminovorans	
56	Chloroflexus aurantiacus	
56,5	Geobacillus subterraneus	
57,5	[Clostridium] cellulosi	
57,5	Acidothermus cellulolyticus	
57,5	Anoxybacillus gonensis	
57,5	Geobacillus lituanicus	
57,5	Geobacillus thermodenitrificans	
57,5	Thermoanaerobacter mathranii	
57,5	Thermobispora bispora	
58	Moorella thermoacetica	
58	Thermacetogenium phaeum	
58,5	Thermoanaerobacterium thermosaccharolyticum	
60	Anoxybacillus flavithermus	
60	Deferribacter desulfuricans	
60	Geobacillus thermoleovorans	
60	Halothermothrix orenii	
60	Meiothermus ruber	
60	Rubrobacter xylanophilus	
60	Symbiobacterium thermophilum	
60	Thermoanaerobacterium xylanolyticum	
61	Anoxybacillus amylolyticus	
62,5	[Clostridium] stercorarium	
62,5	Alicyclobacillus acidocaldarius	
62,5	Geobacillus kaustophilus	
62,5	Thermoanaerobacter brockii	
63	Coprothermobacter proteolyticus	
65	Caldanaerobacter subterraneus	
65	Fervidobacterium islandicum	
65	Thermoanaerobacter pseudethanolicus	
65	Thermodesulfovibrio yellowstonii	
66	Pseudothermotoga elfii	
66	Thermoanaerobacter kivui	
66,5	Thermoanaerobacter wiegelii	
67	Spirochaeta thermophila	
67,5	Thermus parvatiensis	
68	Caldicellulosiruptor lactoaceticus	
68	Thermosediminibacter oceani	
70	Ammonifex degensii	
70	Caldicellulosiruptor saccharolyticus	
70	Desulfurobacterium thermolithotrophum	
70	Fervidobacterium nodosum	
70	Fervidobacterium pennivorans	
70	Geobacillus thermocatenulatus	
70	Pseudothermotoga hypogea	
70	Thermaerobacter marianensis	
70	Thermoanaerobacter italicus	
70	Thermodesulfobacterium commune	
70	Thermosipho melanesiensis	
70	Thermus aquaticus	
70	Thermus brockianus	
70	Thermus oshimai	
70	Thermus scotoductus	
71	Carboxydothermus hydrogenoformans	
72	Dictyoglomus turgidum	
72,5	Hydrogenobacter thermophilus	
72,5	Rhodothermus marinus	
72,5	Thermomicrobium roseum	
75	Caldicellulosiruptor owensensis	
75	Pseudothermotoga thermarum	
75	Thermosipho africanus	
75,5	Dictyoglomus thermophilum	
78	Caldicellulosiruptor kristjanssonii	
80	Thermocrinis ruber	
80	Thermotoga maritima	
80	Thermotoga neapolitana	
85	Aquifex aeolicus
