random_state	max_depth	learning_rate	n_estimators	min_child_weight	gamma	subsample	reg_lambda
1	9	0.04121898399386108	391	19	0.0002412852152362762	0.1484201190802138	0.0019331258597398424	0.8928965872560088	6.7631203445170955	0.9180036866511152	6.636159030935409	0.96058377095602	3.7719169519636475
2	7	0.0522153426642615	277	17	0.34391349215518596	0.07780331060209585	1.0231459808415575e-05	0.8809043701962747	7.1369312367868	0.9022848537606415	7.612995474120956	0.9315772288161702	4.873651097858073
3	9	0.04571678341128111	179	24	0.0007005202559442376	0.15193602057038494	4.42807215997713e-06	0.8902937761519456	6.824356386143385	0.8898811195616971	7.60762391317984	0.9611280263408872	3.8535264274737715
4	7	0.04244964845534242	373	32	3.6466983033893656e-08	0.1709442559513302	3.200875673265458e-07	0.8932735834538259	6.7213748418112305	0.8959524840968037	7.655573243338695	0.9470452500355807	4.410136211989093
5	6	0.0871057894493587	283	42	0.00013459363966513953	0.1721770342324966	9.561755808310127e-06	0.8897910677975533	6.736995178278733	0.9017629656517835	7.5233968237590165	0.953533824507538	4.130520295082106
6	10	0.03694299656937915	369	25	1.5395872216760747e-08	0.14249913114416599	3.549354983749667e-08	0.867334862401977	7.285742670964099	0.8891742375945945	7.620339323919516	0.9698624677104334	3.6668941834812947
7	8	0.03774357471645413	357	20	5.497530319899047e-05	0.07062062388338215	0.00022394100720952818	0.8782444274961421	6.969489962742927	0.8908880619979059	8.061424575923597	0.9346089311388156	5.018968065878512
8	8	0.07418192295164877	314	30	0.033164984073418106	0.15244506950008632	0.05284826155239968	0.8879943412053254	6.745544545915822	0.9016517949642575	7.491938293500157	0.9700152405600537	3.4768163864591415
9	10	0.050678605193682856	176	25	0.01755960585976698	0.15011681842224417	0.1557866332400996	0.8909994094814139	6.723140983404248	0.8971610640013269	7.523400116600379	0.9622039864073154	3.8453227018272957
10	9	0.03578638650936383	285	16	0.857344439935123	0.12050366554827671	0.1451243365621902	0.8883740926402404	6.824989167629302	0.9166942744684956	7.218501304153326	0.956729383828515	4.0887276647686095
