random_state	C	epsilon	TestR2	TestRMSE	ValR2	ValRMSE	TrainR2	TrainRMSE
1	10	0.0022117046256689347	876	5	None	0.10652780559799781	0.8569181848740666	7.81695624805143	0.8797398627622265	8.03675019411574	0.8667655725140473	6.124412688469057
2	10	2.2938171756488345e-05	622	13	None	0.11483548411730858	0.8571799690152663	7.815525082182095	0.8562575532033143	9.233516828325433	0.868414518266526	5.946607700049179
3	10	1.8574863746724998e-05	586	19	None	0.10379114636991266	0.845959878658124	8.086544698798589	0.8213135060929664	9.690897607941016	0.8329142937905569	7.033131726727064
4	9	0.0016493531063269768	821	8	None	0.10092859138859873	0.8633061080327022	7.606707324741571	0.8568239985061149	8.980426705151684	0.8892965027951234	5.595975442094209
5	10	0.00013305064639583796	496	4	None	0.10105716075981153	0.8465704852458948	7.948996302744925	0.8332332473173286	9.802369831729719	0.8789297205039257	5.778307696338685
6	10	6.467322733411386e-06	378	11	None	0.1465448912315183	0.8299741692270605	8.248080196712003	0.8501373516147275	8.861365461252678	0.8692314248459909	6.634780519623511
7	10	2.3304653027414755e-05	498	21	None	0.10567962399525421	0.8355925950360205	8.098736343380411	0.8380290517738834	9.821870925748104	0.8396859974631297	6.93037359991709
8	9	3.2565382595779506e-08	131	17	None	0.14256665272586005	0.8432219065642438	7.980676770102221	0.8462597060890773	9.367092873214489	0.8494036544236987	6.831430029644221
9	8	6.385881138611834e-06	575	17	None	0.1071962005185428	0.8553899334706583	7.74385221134959	0.8475165828209654	9.16108009487327	0.8447079670797217	6.814493978963078
10	10	2.4528909809398378e-08	724	13	None	0.13266608116730264	0.8537638664761011	7.811722608961346	0.8660754026148336	9.152501072199643	0.8644029351138267	6.412334931297411
