ncbiTaxID	Source_ID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
4932	CECT 12508	Saccharomyces cerevisiae	IFI 81	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12509	Saccharomyces cerevisiae	IFI 82	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12510	Saccharomyces cerevisiae	IFI 84	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12511	Saccharomyces cerevisiae	IFI 85	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12513	Saccharomyces cerevisiae	IFI 88	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12514	Saccharomyces cerevisiae	IFI 89	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12515	Saccharomyces cerevisiae	IFI 90	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12516	Saccharomyces cerevisiae	IFI 91	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12517	Saccharomyces cerevisiae	IFI 92	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12518	Saccharomyces cerevisiae	IFI 93	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12519	Saccharomyces cerevisiae	IFI 94	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12520	Saccharomyces cerevisiae	IFI 5	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
29833	CECT 12521	Hanseniaspora uvarum	IFI 1065	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora
4932	CECT 12522	Saccharomyces cerevisiae	IFI 97	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12523	Saccharomyces cerevisiae	IFI 98	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12524	Saccharomyces cerevisiae	IFI 99	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12525	Saccharomyces cerevisiae	IFI 100	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12526	Saccharomyces cerevisiae	IFI 101	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12527	Saccharomyces cerevisiae	IFI 103	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12528	Saccharomyces cerevisiae	IFI 104	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12529	Saccharomyces cerevisiae	IFI 105	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12530	Saccharomyces cerevisiae	IFI 106	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12531	Saccharomyces cerevisiae	IFI 107	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12532	Saccharomyces cerevisiae	IFI 108	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12533	Saccharomyces cerevisiae	IFI 109	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12534	Saccharomyces cerevisiae	IFI 111	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12535	Saccharomyces cerevisiae	IFI 112	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12536	Saccharomyces cerevisiae	IFI 113	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12537	Saccharomyces cerevisiae	IFI 114	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12538	Saccharomyces cerevisiae	IFI 116	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12539	Saccharomyces cerevisiae	IFI 117	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12540	Saccharomyces cerevisiae	IFI 118	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12541	Saccharomyces cerevisiae	IFI 119	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12542	Saccharomyces cerevisiae	IFI 120	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12543	Saccharomyces cerevisiae	IFI 121	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12544	Saccharomyces cerevisiae	IFI 123	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12545	Saccharomyces cerevisiae	IFI 124	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12546	Saccharomyces cerevisiae	IFI 125	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12547	Saccharomyces cerevisiae	IFI 126	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12548	Saccharomyces cerevisiae	IFI 127	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12549	Saccharomyces cerevisiae	IFI 128	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12550	Saccharomyces cerevisiae	IFI 129	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12551	Saccharomyces cerevisiae	IFI 130	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12552	Saccharomyces cerevisiae	IFI 131	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12553	Saccharomyces cerevisiae	IFI 132	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12554	Saccharomyces cerevisiae	IFI 133	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12555	Saccharomyces cerevisiae	IFI 134	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12556	Saccharomyces cerevisiae	IFI 137	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
4932	CECT 12557	Saccharomyces cerevisiae	IFI 138	26	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
