CCUG Number	Strain	Source	Depositor	Deposit Date
53761 AT	Paenalcaligenes hominis	Human blood, 85-yr-old woman	Blood Dept, SU, Göteborg, Sweden	2006-11-20
76614T	Ideonella paludis	Marshland	J.-S.Lee, KCTC, Daejeon, Korea	2022-10-15
76604T	Mixta gaviniae	Powdered infant formula	BE, Gent, LMG, Vereecke Claudine	2022-10-06
76605T	Mixta calida	Powdered infant formula	LMG, Gent, Belgium	2022-10-06
76606T	Eikenella halliae	Eye discharge	BE, Gent, LMG, Vereecke Claudine	2022-10-06
76607T	Eikenella longinqua	Human blood culture	BE, Gent, LMG, Vereecke Claudine	2022-10-06
76608T	Ideonella livida	Lake water	BE, Gent, LMG, Vereecke Claudine	2022-10-06
76579T	Cronobacter condimenti	Spiced meat	N R Aznar, CECT, Valencia, Spain	2022-09-21
76580T	Cronobacter universalis	Freshwater	N R Aznar, CECT, Valencia, Spain	2022-09-21
76581T	Mycobacterium eburneum	Human sputum	N R Aznar, CECT, Valencia, Spain	2022-09-21
76560T	Lactobacillus paragasseri	Human	M.Sakamoto, JCM, RIKEN, Wako, Saitama, Japan	2022-09-19
76561T	Dialister succinatiphilus	Human faeces	M.Sakamoto, JCM, RIKEN, Wako, Saitama, Japan	2022-09-19
76547T	Lacticaseibacillus casei	Faeces of Canada geese	US, FDA, Silver Spring, Volokhov	2022-09-16
76271T	Acinetobacter kanungonis	Skin of fresh water pufferfish	A.Nemec, Prague, Czech Republic	2022-05-13
76272T	Acinetobacter stercoris	Output sample from biogas plant	A.Nemec, Prague, Czech Republic	2022-05-13
75877T	Acinetobacter silvestris	Mud, bank of a seasonal forest creek	A.Nemec, Prague, Czech Republic	2021-11-25
75668T	Alcaligenes endophyticus	Roots of Ammodenron bifolium	DSMZ, Braunschweig, Germany	2021-08-13
75669T	Ideonella azotifigens	Grass rhizosphere soil	DSMZ, Braunschweig, Germany	2021-08-13
75670T	Ideonella sakaiensis	Microbial consortium	DSMZ, Braunschweig, Germany	2021-08-13
75671T	Legionella saoudiensis	Sewage water sample	DSMZ, Braunschweig, Germany	2021-08-13
75672T	Pseudomonas furukawaii	Soil near biphenyl maufactering plant	DSMZ, Braunschweig, Germany	2021-08-13
75492T	Streptococcus toyakuensis	Human blood	T.Suyama, Tsukuba, Japan	2021-05-24
75319T	Vibrio paracholerae	Water	Bangladesh, Dhaka, Kamrangir Char	2021-04-19
75085T	Sangeribacter muris	Faeces	Beresford-Jones, Cambridge, UK	2021-04-08
75230T	Corynebacterium gottingense	Human blood	DSMZ, Braunschweig, Germany	2021-02-26
75233T	Corynebacterium urinapleomorphum	Human urine	D, Braunschweig, DSMZ, Gronow S	2021-02-26
75235T	Mycobacterium engbaekii	Unknown	D, Braunschweig, DSMZ, Gronow S	2021-02-26
75236T	Mycobacterium heraklionense	Clinical isolate	D, Braunschweig, DSMZ, Gronow S	2021-02-26
75237T	Mycobacterium virginiense	Human biopsy, tenosynovitis of hand of adult woman	DSMZ, Braunschweig, Germany	2021-02-26
75192T	Enterobacter roggenkampii	Human faeces	S Gronow, DSMZ, Braunschweig, DE	2021-02-04
75193T	Enterobacter kobei	Human blood, diabetic patient	S.Gronow, DSMZ, Braunschweig, DE	2021-02-04
75194T	Enterobacter bugandensis	Human blood, neonate	S Gronow, DSMZ, Braunschweig, DE	2021-02-04
75195T	Phytobacter massiliensis	Human faeces of healthy patient	S Gronow, DSMZ, Braunschweig, DE	2021-02-04
75196T	Mixta theicola	Black tea extract	S Gronow, DSMZ, Braunschweig, DE	2021-02-04
75176T	Alteromonas antoniana	Jellyfish(Pelagia noctiluca)	ES, Esporles, IMEDEA, Vega Gago	2021-01-27
75177T	Alteromonas lipotrueae	Jellyfish(Pelagia noctiluca)	ES, Esporles, IMEDEA, Vega Gago	2021-01-27
75178T	Alteromonas lipotruiana	Seawater	ES, Esporles, IMEDEA, Vega Gago	2021-01-27
75179T	Hydrotalea lipotrueae	Ground water	ES, Esporles, IMEDEA, Vega Gago	2021-01-27
75084T	Anaerostipes faecis	Faeces	Beresford-Jones, Cambridge, UK	2020-12-10
75086T	Duncaniella muricolitica	Faeces	Beresford-Jones, Cambridge, UK	2020-12-10
75078T	Ancylobacter lacus	Lake water	N.V. Doronina, RAS, Moscow, Russia	2020-12-08
75079T	Ancylobacter dichloromethanicus	Soil, dichloromethane contaminated	N.V. Doronina, RAS, Moscow, Russia	2020-12-08
75080T	Ancylobacter plantiphilus	Rhizospheric soils of wild carrot	N.V. Doronina, RAS, Moscow, Russia	2020-12-08
74982T	Brevundimonas pondensis	Pondwater surface	Friedrich, Univ Göttingen, DE	2020-10-28
74983T	Brevundimonas goettingensis	Puddlewater surface	Friedrich, Göttingen, DE	2020-10-28
74870T	Pseudomonas iridis	Rainbow trout	TR, Bursa Uludag Univ, Duman M	2020-09-24
74871T	Pseudomonas piscicola	Rainbow trout	TR, Bursa Uludag Univ, Duman M	2020-09-24
74872T	Pseudomonas arcuscaelestis	Rainbow trout	TR, Bursa Uludag Univ, Duman M	2020-09-24
74873T	Pseudomonas pisciculturae	Rainbow trout, fish farm	TR, Bursa Uludag Univ.Duman M	2020-09-24
74874T	Pseudomonas mucoides	Rainbow trout, fish farm	TR, Bursa Uludag Univ, Duman M	2020-09-24
74875T	Pseudomonas neuropathica	Rainbow trout	TR, Bursa Uludag Univ, Duman M	2020-09-24
74795T	Gulosibacter hominis	Human, inner ear	CH, USB Basel, Goldenberger D	2020-08-27
74796T	Pseudoclavibacter triregionum	Human blood	Goldenberger, USB Basel, CH	2020-08-27
74789T	Staphylococcus caledonicus	Healthy domestic dog, multi-site swab	UK, Edinburgh, Paterson Gavin	2020-08-25
74790T	Staphylococcus canis	Healthy domestic dog, multi-site swab	UK, Edinburgh, Paterson Gavin	2020-08-25
74754T	Pseudomonas lalucatii	Rock	ES, Palma, Garcia-Valdes Elena	2020-08-07
74755T	Pseudomonas anatoliensis	Rainbow trout	Duman, Uludag Univ.Bursa, Turkey	2020-08-07
74323T	Winogradskyella forsetii	Surface seawater	E, Illes Balears, Esporles,	2020-06-10
74665T	Listeria rustica	Water	US, Ithaca, Cornell Uni, Wiedmann M	2020-05-18
74666T	Listeria immobilis	Soil	US, Ithaca, Cornell Uni, Wiedmann M	2020-05-18
74667T	Listeria cossartiae subsp. cossartiae	Soil	US, Ithaca, Cornell Uni, Wiedmann M	2020-05-18
74668T	Listeria farberii	Soil	Wiedmann, Cornell Uni, Ithaca, US	2020-05-18
74670T	Listeria cossartiae subsp. cayugensis	Soil	US, Ithaca, Cornell Uni, Wiedmann M	2020-05-18
74671T	Listeria portnoyii	Soil	Wiedmann, Cornell Uni, Ithaca, US	2020-05-18
74655T	Streptococcus pacificus	Lung swab from sea lion(Zalophus californianus)	US, FDA, Silver Spring, Volokhov	2020-05-11
74625T	Acinetobacter geminorum	Human throat swab	DE, Tübingen, Oberhettinger P	2020-04-23
74597T	Veillonella nakazawae	Human saliva, healthy child	JP, Fukushima, Ohu Univ, I Mashima	2020-04-06
74465T	Neisseria sicca	Human pharyngeal mucosa, healthy individual	CIP, Paris, France	2020-02-20
74466T	Corynebacterium trachiae	Trachea of a white stork	CIP, Paris, France	2020-02-20
74467T	Corynebacterium pelargi	Trachea of a white stork (Ciconia ciconia)	CIP, Paris, France	2020-02-20
74468T	Vibrio metoecus	Coastal brackish ponds	CIP, Paris, France	2020-02-20
74371T	Streptococcus vicugnae	Rectal swab from alpaca(Vicugna pacos)	US, FDA, Silver Spring, Volokhov	2020-02-05
74373T	Neisseria zalophi	Oral cavity from California sea lion	US, FDA, Silver Spring, Volokhov	2020-02-05
74374T	Streptococcus zalophi	Lung swab from California sea lion	US, FDA, Silver Spring, Volokhov	2020-02-05
74322T	Winogradskyella vidalii	Surface seawater	E, Illes Balears, Esporles	2020-01-27
74324T	Winogradskyella costae	Surface seawater	E, Illes Balears, Esporles	2020-01-27
74330T	Winogradskyella schleiferi	Surface seawater	E, Illes Balears, Esporles,	2020-01-27
74332T	Winogradskyella ursingii	Surface seawater	E, Illes Balears, Esporles,	2020-01-27
74333T	Winogradskyella helgolandensis	Surface seawater	E, Illes Balears, Esporles,	2020-01-27
74293T	Eikenella glucosivorans	Human clinical sample	DE, Rostock, IMIKRO, Buhl Michael	2020-01-16
74294T	Parvimonas parva	Human clinical sample	DE, Rostock, IMIKRO, Buhl Michael	2020-01-16
74260T	Pseudomonas sivasensis	Rainbow trout, Onchorhynchus mykiss, Walbaum	ES, Palma, Garcia-Valdes Elena	2020-01-10
74246T	Fusobacterium watanabei	Human ascites fluid	JP, Nagoya, Kawamura Y	2020-01-07
74118T	Streptobacillus canis	Dog, phlegmon, hindleg	DE, Giessen, Veterinärmed, Eisenber	2019-11-07
74064T	Acinetobacter nosocomialis	Human sputum	Prague, Czech Republic	2019-10-22
74036T	Acinetobacter chinensis	Hospital sewage	A.Nemec, Prague, Czech Republic	2019-10-16
74038T	Acinetobacter defluvii	Hospital sewage	A.Nemec, Prague, Czech Republic	2019-10-16
74039T	Acinetobacter sichuanensis	Hospital sewage	A.Nemec, Prague, Czech Republic	2019-10-16
74040T	Acinetobacter wuhouensis	Hospital sewage	A.Nemec, Prague, Czech Republic	2019-10-16
74043T	Acinetobacter cumulans	Hospital sewage	A.Nemec, Prague, Czech Republic	2019-10-16
73951T	Streptococcus caledonicus	Sheep, pleural fluid	G.Foster, SAC, Inverness, Scotland, UK	2019-09-11
73898T	Pseudomonas atacamensis	Soil	A.Levican, Valparaiso, Chile	2019-08-26
73831T	Tenacibaculum finnmarkense	Skin ulcer (Atlantic salmon)	NO, Bergen, NVI, Olsen Anne Berit	2019-08-15
73840T	Bifidobacterium panos	Feces, chimpanzee (Pan troglodytes)	CZ, Prague, CULS, Vera Bunesová	2019-07-30
73842T	Bifidobacterium moraviense	Feces, Goeldi's marmoset (Callimico goeldii)	CZ, Prague, CULS, Vera Bunesová	2019-07-30
73843T	Bifidobacterium erythrocebi	Feces, Patas monkey (Erythrocebus patas)	CZ, Prague, CULS, Vera Bunesová	2019-07-30
73845T	Bifidobacterium olomucense	Feces, moustached tamarin (Saguinus mystax)	CZ, Prague, CULS, Vera Bunesová	2019-07-30
73932T	Bifidobacterium oedipodis	Feces, cotton-top tamarin (Saguinus oedipus)	CZ, Prague, CULS, Vera Bunesová	2019-07-30
73832T	Tenacibaculum finnmarkense	Skin ulcer (Atlantic salmon)	NO, Bergen, NVI, Olsen Anne Berit	2019-07-26
73833T	Tenacibaculum piscium	Skin ulcer (Atlantic salmon)	NO, Bergen, NVI, Olsen Anne Berit	2019-07-26
73785T	Bifidobacterium cebidarum	Goeldi's monkey	M.Ventura, Parma, Italy	2019-06-28
73786T	Bifidobacterium leontopitheci	Goeldi's monkey	M.Ventura, Parma, Italy	2019-06-28
73747T	Staphylococcus borealis	Human blood	Cavanagh, UIT, Tromsö, Norway	2019-06-12
73691T	Pseudomonas lalkuanensis	Soil, paper mill yard	IN, Maharshtra, Pune, Yadav Amit	2019-05-13
73653T	Oceanivirga miroungae	Oralswab from northern elephant seal	US, FDA, Silver Spring, Volokhov	2019-04-24
73638T	Pseudomonas nosocomialis	Clinical sample, human CSF	ES, Palma, Garcia-Valdes Elena	2019-04-16
73600T	Pseudoflavitalea rhizosphaerae	Rhizosphere of tomato	US, Columbia, USCMED, Testerman T	2019-04-04
73601T	Pseudoflavitalea soli	Soil sample	US, Columbia, USCMED, Testerman T	2019-04-04
73594T	Neisseria sicca	Human pharyngeal mucosa, healthy individual	C.Vereecke, LMG, Gent, Belgium	2019-04-03
73596T	Enterobacter mori	Mulberry(Morus alba)	BE, Gent, LMG, Vereecke Claudine	2019-04-03
73597T	Neisseria oralis	Human blood	BE, Gent, LMG, Vereecke Claudine	2019-04-03
73598T	Paracoccus sanguinis	Human blood	BE, Gent, LMG, Vereecke Claudine	2019-04-03
73599T	Enterobacter muelleri	Corn plant rhizosphere, Sweet Belle cultivar	BE, Gent, LMG, Vereecke Claudine	2019-04-03
73582T	Capnocytophaga canis	Mouth of healthy dog	Braunschweig, Germany	2019-04-01
73583T	Corynebacterium faecale	Primate faeces, Assamese macaque	Braunschweig, Germany	2019-04-01
73584T	Corynebacterium glyciniphilum	Putrefied bananas	DE, Braunschweig, DSM, Martin Dunja	2019-04-01
73585T	Corynebacterium pollutisoli	Soil from hexachlorocyclodexane dumpsite	DE, Braunschweig, DSM, Martin Dunja	2019-04-01
73586T	Corynebacterium uropygiale	Glands of healthy turkey, Meleagris gallopavo	DE, Braunschweig, DSM, Martin Dunja	2019-04-01
73587T	Buttiauxella ferragutiae	Soil	DSMZ, Braunschweig, Germany	2019-04-01
73571T	Campylobacter armoricus	River water	FR, Plouzané, IFREMER, Gourmelon M	2019-03-22
73498T	Epilithonimonas vandammei	Human sample, testicle	A.Nicholson, CDC, Atlanta, USA	2019-03-01
73522T	Vagococcus acidifermentans	Acidogenic fermentation bioreactor, food wastewater	P.L.Shewmaker, CDC, Atlanta, USA	2019-02-25
73523T	Vagococcus entomophilus	Digestive tract, wasp (Vespula vulgaris)	P.L.Shewmaker, CDC, Atlanta, USA	2019-02-25
73524T	Vagococcus humatus	Soil, decomposing pig carcass	P.L.Shewmaker, CDC, Atlanta, USA	2019-02-25
73525T	Vagococcus martis	Marten, small intestine (Martes flavigula)	P.L.Shewmaker, CDC, Atlanta, USA	2019-02-25
73526T	Vagococcus penaei	Spoiled cooked shrimp (Pennaeus vannamei)	P.L.Shewmaker, CDC, Atlanta, USA	2019-02-25
73527T	Vagococcus teuberi	Malian artisanal sour milk fene	P.L.Shewmaker, CDC, Atlanta, USA	2019-02-25
73377T	Pandoraea iniqua	Soil, maize rhizosphere	Belgium, Gent	2019-01-17
73378T	Pandoraea commovens	Cystic fibrosis patient	Belgium, Gent	2019-01-17
73379T	Pandoraea horticolens	Soil	Belgium, Gent	2019-01-17
73380T	Pandoraea eparura	Soil	Belgium, Gent	2019-01-17
73381T	Pandoraea terrigena	Soil	Belgium, Gent	2019-01-17
73382T	Pandoraea soli	Soil	Belgium, Gent	2019-01-17
73383T	Pandoraea communis	Cystic fibrosis patient	Belgium, Gent	2019-01-17
73384T	Pandoraea aquatica	Water, Greenhouse pond	Belgium, Gent	2019-01-17
73385T	Pandoraea anapnoica	Human throat, Cystic fibrosis patient	Ann Arbor, Michigan, USA	2019-01-17
73386T	Pandoraea anhela	Human throat, Cystic fibrosis patient	Ann Arbor, Michigan, USA	2019-01-17
73387T	Pandoraea captiosa	Human sputum, Cystic fibrosis patient	Ann Arbor, Michigan, USA	2019-01-17
73388T	Pandoraea pneumonica	Human sputum, Cystic fibrosis patient	Ann Arbor, Michigan, USA	2019-01-17
73389T	Pandoraea morbifera	Human sputum, Cystic fibrosis patient	Ann Arbor, Michigan, USA	2019-01-17
73390T	Pandoraea nosoerga	Human throat, Cystic fibrosis patient	Ann Arbor, Michigan, USA	2019-01-17
73276T	Kaistella daneshvariae	Peritoneal cavity	A.Nicholson, CDC, Atlanta, USA	2018-12-06
73139T	Streptococcus downii	Human dental plaque	ES, Vigo, Lucia Martines Lamas	2018-11-12
73096T	Pseudocitrobacter vendiensis	Human perineum	DK, Copenhagen, SSI, Hansen Frank	2018-11-01
72808T	Prevotella vespertina	Human, clinical sample	DE, Tübingen, Michael Buhl	2018-09-14
72809T	Prevotella brunnea	Human, clinical sample	DE, Tübingen, Michael Buhl	2018-09-14
72814T	Bifidobacterium callimiconis	Goeldi's monkey (Callimico goeldii)	M.Ventura, Parma, Italy	2018-09-14
72815T	Bifidobacterium goeldii	Goeldi's monkey (Callimico goeldii)	M.Ventura, Parma, Italy	2018-09-14
72816T	Bifidobacterium castoris	Beaver (Castor fiber)	M.Ventura, Parma, Italy	2018-09-14
72817T	Bifidobacterium samirii	Squirrel monkey (Saimiri boliviensis peruviensis)	M.Ventura, Parma, Italy	2018-09-14
72818T	Bifidobacterium dolichotidis	Patagonian cavy (Dolichotis patagonum)	M.Ventura, Parma, Italy	2018-09-14
72762T	Streptococcus hillyeri	Trachea, healthy horse	UK, Edinburgh, Paterson Gavin	2018-09-04
72763T	Staphylococcus pseudoxylosus	Bovine mastitis	UK, Edinburgh, Paterson Gavin	2018-09-04
72509T	Corynebacterium diphtheriae subsp lausannense	Human bronchoalveolar lavage	F.Tagini, CHUV, Lausanne, Switzerland	2018-06-27
72425T	Gardnerella leopoldii	Human vagina	M.Vaneechoutte, Gent, Belgium	2018-06-25
72427T	Gardnerella piotii	Human vagina	M.Vaneechoutte, Gent, Belgium	2018-06-25
72429T	Gardnerella swidsinskii	Human vagina	M.Vaneechoutte, Gent, Belgium	2018-06-25
72092T	Sanguibacter massiliensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2018-06-15
72399T	Methylopila carotae	Root of Daucus carota	N.V. Doronina, RAS, Moscow, Russia	2018-06-05
72353T	Marasmitruncus massiliensis	Human faeces sample	F.Cadoret, Timone, Marseille, France	2018-05-25
72355T	Aeribacillus pallidus	Soil around hot spring	Harirchi, Högskolan, Borås, SE	2018-05-25
72345T	Paratractidigestivibacter faecalis	Human faeces	Yong-Hyo Chang, KCTC, Daejeon, South Korea	2018-05-24
72321T	Pseudomonas zeshuii	Soil sample	KR, KACC, Kwon Soon-Wo	2018-05-22
72322T	Pseudomonas guangdongensis	Electroactive biofilm	KR, KACC, Kwon Soon-Wo	2018-05-22
72323T	Enterococcus diestrammenae	Gut of a camel crickett, Diestrammena coreana	KR, KACC, Kwon Soon-Wo	2018-05-22
72324T	Actinomyces haloitis	Gut of a abalone, Haliotis discus hannai	KR, KACC, Kwon Soon-Wo	2018-05-22
72325T	Corynebacterium atrinae	Gastrointestinal tract of a pen shell(Atrina sp)	KR, KACC, Kwon Soon-Wo	2018-05-22
72292T	Actinomyces minihominis	Human stool sample	F.Cadoret, Timone, Marseille, France	2018-05-16
72269T	Staphylococcus edaphicus	Fragments of black porus stone	CCM, Brno, Czech Republic	2018-05-14
72270T	Staphylococcus pragensis	Human ejaculate, chronical prostatitis	CCM, Brno, Czech Republic	2018-05-14
72271T	Mammaliicoccus stepanovicii	Bank vole	CCM, Brno, Czech Republic	2018-05-14
72241T	Lysinibacillus capsici	Rhizosphere of pepper plant, soil	US, Plant City, Pathways, Burkett	2018-04-30
72164T	Lysobacter pythonis	Respiratory tract of royal python(Python regius)	AT, Wien, Vet.med, Busse, H-J	2018-04-16
72165T	Corynebacterium gerontici	Respiratory tract of Geronticus eremita	Busse, H-J, Vet.med.Wien.Austria	2018-04-16
72166T	Corynebacterium choanae	Respiratory tract of Geronticus eremita	AT, Wien, Vet.med, Busse, H-J	2018-04-16
72167T	Corynebacterium pseudopelargi	Respiratory tract of Geronticus eremita	AT, Wien, Vet.med, Busse, H-J	2018-04-16
72126T	Mycobacterium innocens	Expectoration	CH, Lausanne, CHUV, Tagini F	2018-04-05
72127T	Mycobacterium attenuatum	Human bronchial aspiration	CH, Lausanne, CHUV, Tagini F	2018-04-05
72128T	Mycobacterium pseudokansasii	Human blood	CH, Lausanne, CHUV, Tagini F	2018-04-05
71989T	Paracoccus simplex	Sludge, fresh lake	N.V. Doronina, RAS, Moscow, Russia	2018-03-13
71912T	Staphylococcus caeli	Air in industrial rabbit holding	Paterson, Edinburgh, UK	2018-02-26
71898T	Actinomyces marseillensis	Human sputum	F.Cadoret, Timone, Marseille, France	2018-02-21
71848T	Lentilactobacillus raoultii	Human vagina	F.Cadoret, Timone, Marseille, France	2018-02-09
71842T	Megasphaera stantonii	Cecum, white leghorn chicken	L.Torey, USDA, Ames, USA	2018-02-07
71359T	Dorea phocaeensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-12-20
71632T	Massiliimalia timonensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-12-13
71633T	Lactobacillus timonensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-12-13
71568T	Lachnoclostridium edouardi	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-12-05
71558T	Achromobacter veterisilvae	Rhizophere soil	P.A.R.Vandamme, LMG, Gent, Belgium	2017-11-30
71550T	Helcococcus massiliense	Human vaginal sample	F.Cadoret, Timone, Marseille, France	2017-11-29
71488T	Congobacterium massiliense	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-11-16
71489T	Clostridium pacaense	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-11-16
71490T	Catenibacillus scindens	Human faeces, healthy subject	A.Braune, DIFE, Nuthetal, Germany	2017-11-16
71370T	Shewanella submarina	Marine water	India, Kochi, NIO, Srinivas T.N.R	2017-11-06
71356T	Dysgonomonas massiliensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-11-01
71357T	Miniphocaeibacter massiliensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-11-01
71358T	Clostridium minihomine	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-11-01
71360T	Neobittarella massiliensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-11-01
71291T	Ornithinibacillus massiliensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-10-19
71276T	Campylobacter blaseri	Faeces, common seal(Phoca vitulina)	Jaan Wagenaar, Utrecht, The Netherlands	2017-10-16
71182T	Parolsenella massiliensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-09-27
71183T	Parabacteroides timonensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-09-27
70981T	Oceanobacillus timonensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-08-07
70959T	Bifidobacterium margollesii	Faeces, Callithrix pygmae	M.Ventura, Parma, Italy	2017-07-28
70960T	Bifidobacterium anseris	Faeces, Anser domesticus	M.Ventura, Parma, Italy	2017-07-28
70961T	Bifidobacterium imperatoris	Faeces, Emperor Tamarin	M.Ventura, Parma, Italy	2017-07-28
70962T	Bifidobacterium criceti	Faeces, Cricetus cricetus	M.Ventura, Parma, Italy	2017-07-28
70963T	Bifidobacterium italicum	Faeces, Oryctolagus cuniculus	M.Ventura, Parma, Italy	2017-07-28
70964T	Bifidobacterium parmae	Faeces, Callithrix pygmaea	M.Ventura, Parma, Italy	2017-07-28
70947T	Collinsella provencensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-07-25
70915T	Klebsiella quasipneumoniae subsp. quasipneumoniae	Human blood	DE, Braunschweig	2017-07-17
70916T	Klebsiella quasipneumoniae subsp. similipneumoniae	Human blood	DE, Braunschweig	2017-07-17
70917T	Staphylococcus argenteus	Blood culture, 55-year-old female	DE, Braunschweig	2017-07-17
70918T	Staphylococcus schweitzeri	Nose culture, non human primate(Cercophithecus asc.	DE, Braunschweig	2017-07-17
70919T	Rouxiella chamberiensis	Parenteral nutrition bags for newborns	DE, Braunschweig	2017-07-17
70920T	Staphylococcus argensis	Fresh water, environmental sediments	DE, Braunschweig	2017-07-17
70863T	Streptococcus ursoris	Bear, oral cavity	O.Moriya, RIKEN, Japan	2017-07-05
70864T	Streptococcus troglodytae	Chimpanzee, oral cavity	O.Moriya, RIKEN, Japan	2017-07-05
70865T	Streptococcus loxodontisalivarius	Saliva, African elephant	O.Moriya, RIKEN, Japan	2017-07-05
70866T	Streptococcus saliviloxodontae	Saliva, African elephant	O.Moriya, RIKEN, Japan	2017-07-05
70867T	Streptococcus panodentis	Chimpanzee, oral cavity	O.Moriya, RIKEN, Japan	2017-07-05
70868T	Streptococcus oricebi	Oral cavity, tufted capuchin	O.Moriya, RIKEN, Japan	2017-07-05
70857T	Psittacicella gerlachiana	Grey parrot	H.Christensen, KVL, Frederiksberg, Denmark	2017-07-03
70858T	Psittacicella melopsittaci	Parrot	H.Christensen, KVL, Frederiksberg, Denmark	2017-07-03
70831T	Vagococcus bubulae	Ground beef	P.L.Shewmaker, CDC, Atlanta, USA	2017-06-20
70832T	Vagococcus vulneris	Human wound, foot	P.L.Shewmaker, CDC, Atlanta, USA	2017-06-20
70816T	Raoultella electrica	Anode chamber	Yong-Hyo Chang, KCTC, Daejeon, South Korea	2017-06-19
70817T	Streptococcus troglodytidis	Chimpanzee, foot abscess	Yong-Hyo Chang, KCTC, Daejeon, South Korea	2017-06-19
70711T	Lactobacillus timonensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-05-22
70680T	Raoultibacter timonensis	Human stool sample	Timone, Marseille, France	2017-05-11
70681T	Phoenicibacter congonensis	Human stool sample	Timone, Marseille, France	2017-05-11
70682T	Collinsella bouchesdurhonensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-05-11
70655 AT	Bifidobacterium vansinderenii	Faeces, Emperor tamarin	M.Ventura, Parma, Italy	2017-05-05
70632T	Clostridium neonatale	Human blood, neonate with necrotizing enterocolitis	J Aires, Univ Paris Descartes, France	2017-05-02
70622T	Blautia marasmi	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-04-27
70601T	Methylobacillus caricis	Rhizosphere of sedge(Carex sp)	N.V. Doronina, RAS, Moscow, Russia	2017-04-24
70602T	Methylophilus aquaticus	Water, freshwater reserve	N.V. Doronina, RAS, Moscow, Russia	2017-04-24
70587T	Campylobacter vulpis	Caecal contents red fox (Vulpes vulpes)	D.Florio, Ozzano Emilia, Italy	2017-04-21
70550T	Bacteroides ihuae	Human sputum sample	F.Cadoret, Timone, Marseille, France	2017-04-13
70551T	Selenomonas felix	Human sputum sample	F.Cadoret, Timone, Marseille, France	2017-04-13
70546T	Mycobacterium aurum	Soil	UK, NCTC, Alexander Sarah	2017-04-12
70547T	Vibrio natriegens	Mud, salt marsh	UK, NCTC, Alexander Sarah	2017-04-12
70536T	Aggregatibacter kilianii	Human abdominal abscess	N.Nörskov-Lauritsen, Aarhus, Denmark	2017-04-11
70613T	Oceanobacillus senegalensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-04-06
70143T	Actinomyces mediterranea	Human stool	F.Cadoret, Timone, Marseille, France	2017-03-17
70388T	Virgibacillus ndiopensis	Human stool sample	Timone, Marseille, France	2017-03-10
70390T	Negativicoccus massiliensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-03-10
70327T	Eggerthella timonensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-03-01
70328T	Collinsella bouchesdurhonensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-03-01
70329T	Pygmaiobacter massiliensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-03-01
70277 #T	Acinetobacter libanensis	Stool of cow	A.Nemec, Prague, Czech Republic	2017-02-17
70281T	Mobilibacterium timonense	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-02-17
70282T	Gabonibacter timonensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2017-02-17
70284T	Ellagibacter isourolithinifaciens	Human feces	V.Selma, Murcia, Spain	2017-02-17
70237T	Ancylobacter sonchi	Roots of Sonchus arvensis	N.V. Doronina, RAS, Moscow, Russia	2017-02-06
70177T	Bacillus swezeyi	Soil	C.Dunlap, NRRL, Peoria, USA	2017-01-23
70178T	Bacillus haynesii	Soil	C.Dunlap, NRRL, Peoria, USA	2017-01-23
70144T	Bacteroides congonensis	Human stool	F.Cadoret, Timone, Marseille, France	2016-12-09
69668T	Rodentibacter trehalosifermentans	Laboratory rat, trachea	H.Christensen, KVL, Copenhagen, Denmark	2016-12-06
69890T	Bacillus sinesaloumensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2016-11-25
69891T	Virgibacillus dakarensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2016-11-25
69892T	Bacillus dakarensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2016-11-25
69893T	Clostridium massiliodielmoense	Human stool sample	F.Cadoret, Timone, Marseille, France	2016-11-25
69894 #T	Aquibacillus massiliensis	Human stool sample	F.Cadoret, Timone, Marseille, France	2016-11-25
