CCUG Number	Strain	Source	Depositor	Deposit Date
47334T	Helcococcus sueciensis	Human wound, 83-yr-old woman	L.Lind, PHLS, Göteborg, Sweden	2003-01-22
47322 #T	Phocoenobacter uteri	Harbour porpoise (Phocoena phocoena)	B.Holmes, NCTC, London, UK	2003-01-20
47306T	Arsenicicoccus bolidensis	Sediment containing mine tailings	J.Routh, Dept.of Geol & Geochem., Stockholm, Sweden	2003-01-14
47294T	Rothia amarae	Sludge of a foul water sewer	JCM, RIKEN, Saitama, Japan	2003-01-10
47286T	Mycobacterium immunogenum	Human bronchial alveolar lavage (equipment (ATCC))	C.Bizet, CIP, Institut Pasteur, Paris, France	2003-01-08
47262T	Shouchella clausii	Garden soil	P.Green, NCIMB, Aberdeen, Scotland, UK	2002-12-27
47265T	Listonella anguillarum	Fish, ulcerous lesion in cod	P.Green, NCIMB, Aberdeen, Scotland, UK	2002-12-27
47266T	Pigmentiphaga kullae	Soil, enrichment with 1-(4'-carboxy-phenylazo)-4-n.	P.Green, NCIMB, Aberdeen, Scotland, UK	2002-12-27
47268T	Xenophilus azovorans	Soil after enrichment	P.Green, NCIMB, Aberdeen, Scotland, UK	2002-12-27
47242T	Cohnella thermotolerans	Industrial starch	Anonymous	2002-12-19
47198T	Bacillus benzoevorans	Soil	Z.Pácová, CCM, Brno, Czech Republic	2002-12-09
47199T	Macrococcus lamae	Llama skin (Lama glama)	Z.Pacova, CCM, Brno, Czech Republic	2002-12-09
47200T	Macrococcus brunensis	Llama skin (Lama glama)	Z.Pacova, CCM, Brno, Czech Republic	2002-12-09
47201T	Macrococcus hajekii	Llama skin (Lama glama)	Z.Pacova, CCM, Brno, Czech Republic	2002-12-09
47179T	Burkholderia phymatum	Root nodule of Machaerium lunatum	P.Vandamme, LMG, Gent, Belgium	2002-12-04
47180 AT	Aeromonas allosaccharophila	Eal, diseased, Anguilla anguilla	F.Uruburu, CECT, Burjasot(Valencia), Spain	2002-12-02
47181 #T	Gelidibacter mesophilus	Sea water	F.Uruburu, CECT, Burjasot(Valencia), Spain	2002-12-02
47155T	Streptococcus devriesei	Horse tooth upper jaw, caries in P2, 6-yr-old horse	Ingrid Hansson, SVA, Uppsala, Sweden	2002-11-26
47163T	Helicobacter canadensis	Human feces, diarrheic patient	J.Tang, ATCC, Manassas, USA	2002-11-26
47165T	Rhodococcus rhodochrous		J.Tang, ATCC, Manassas, USA	2002-11-26
47166T	Conchiformibius kuhniae	Cat	J.Tang, ATCC, Manassas, USA	2002-11-26
47168T	Mycobacterium wolinskyi	Human post-surgical facial abscess	J.Tang, ATCC, Manassas, USA	2002-11-26
47136T	Exiguobacterium undae	Garden pond	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-11-25
47137T	Exiguobacterium antarcticum	Microbial mat	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-11-25
47138T	Gordonia sputi	Human sputum	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-11-25
47139T	Knoellia sinensis	Soil, cave	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-11-25
47140T	Leifsonia poae	Poa annua root gall	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-11-25
47141T	Nesterenkonia lacusekhoensis	Water	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-11-25
47142T	Oerskovia jenensis	Soil, spruce-forest	C.Bizet, CIP, Institut Pasteur, Paris, France	2002-11-25
47127T	Oerskovia enterophila	Fresh fecal pellets of Chromatoiulus projectus	T.Kudo, JCM, RIKEN, Saitama, Japan	2002-11-22
47128T	Dietzia psychralcaliphila	Water (6°C, pH 7), drain pool of a fish-egg-pr.plant	T.Kudo, JCM, RIKEN, Saitama, Japan	2002-11-22
47129T	Ligilactobacillus equi	Equine feces	T.Kudo, JCM, RIKEN, Saitama, Japan	2002-11-22
47130T	Corynebacterium efficiens	Soil	T.Kudo, JCM, RIKEN, Saitama, Japan	2002-11-22
47131T	Mogibacterium neglectum	Human necrotic dental pulp	T.Kudo, JCM, RIKEN, Saitama, Japan	2002-11-22
47132T	Mogibacterium diversum	Human tongue plaque	T.Kudo, JCM, RIKEN, Saitama, Japan	2002-11-22
47133T	Latilactobacillus fuchuensis	Vacuum-packaged refrigerated beef	T.Kudo, JCM, RIKEN, Saitama, Japan	2002-11-22
47134T	Weissella koreensis	Traditional Korean fermented-vegetable food	T.Kudo, JCM, RIKEN, Saitama, Japan	2002-11-22
47103T	Brackiella oedipodis	Cotton-topped tamarin (Saguinus oedipus), heart	D.Janssens, LMG, Gent, Belgium	2002-11-20
47104T	Ochrobactrum tritici	Wheat rhizoplane	D.Janssens, LMG, Gent, Belgium	2002-11-20
47105T	Oerskovia paurometabola	Soil, leafy wood	D.Janssens, LMG, Gent, Belgium	2002-11-20
47106T	Subdoligranulum variabile	Human feces, 47-yr-old woman	K.Holmström, BTI, Hörsholm, Denmark	2002-11-20
47080T	Zobellia amurskyensis	Sea water	O.Nedashkovskaya, KMM, Vladivostok, Russia	2002-11-19
47083T	Zobellia laminariae	Brown alga, Laminaria japonica	O.Nedashkovskaya, KMM, Vladivostok, Russia	2002-11-19
47084T	Zobellia russellii	Green alga, Acrosiphonia sonderi	O.Nedashkovskaya, KMM, Vladivostok, Russia	2002-11-19
47091T	Winogradskyella epiphytica	Green alga (Acrosiphonia sonderi)	O.Nedashkovskaya, KMM, Vladivostok, Russia	2002-11-19
47093T	Ulvibacter litoralis	Green alga, Ulva fenestrata	O.Nedashkovakaya, KMM, Vladivostok, Russia	2002-11-19
47094T	Algoriphagus winogradskyi	Green alga, Acrosiphonia sonderi	O.Nedashkovskaya, KMM, Vladivostok, Russia	2002-11-19
47095T	Algoriphagus chordae	Brown alga, Chorda filum	O.Nedashkovskaya, KMM, Vladivostok, Russia	2002-11-19
47098T	Maribacter sedimenticola	Marine bottom sediment	O.Nedashkovskaya, KMM, Vladivostok, Russia	2002-11-19
47099T	Zobellia galactanivorans		O.Nedashkovakaya, KMM, Vladivostok, Russia	2002-11-19
47100T	Zobellia uliginosa		O.Nedashkovakaya, KMM, Vladivostok, Russia	2002-11-19
47101T	Algoriphagus aquimarinus	Seawater	O.Nedashkovskaya, KMM, Vladivostok, Russia	2002-11-19
47057T	Achromobacter insolitus	Human wound, leg	T.Coenye/P.Vandamme/D.Janssens, LMG, Gent, Belgium	2002-11-08
47062T	Achromobacter spanius	Human blood	T.Coenye/P.Vandamme/D.Janssens, LMG, Gent, Belgium	2002-11-08
47026T	Dialister invisus	Human tooth, infected root canal	J.Downes & W.G.Wade, Guys Hospital, London, UK	2002-10-25
