ncbiTaxID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
1041766	Methylacidimicrobium cyclopophantes	3B	44.0	Bacteria	Verrucomicrobiota				Methylacidimicrobium	
1041768	Methylacidimicrobium tartarophylax	4A	38.0	Bacteria	Verrucomicrobiota				Methylacidimicrobium	
591154	Methylacidiphilum fumariolicum	Fur	55.0	Bacteria	Verrucomicrobiota	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	
591154	Methylacidiphilum fumariolicum	Rib	55.0	Bacteria	Verrucomicrobiota	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	
591154	Methylacidiphilum fumariolicum	Ice	55.0	Bacteria	Verrucomicrobiota	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	
591154	Methylacidiphilum fumariolicum	Fdl	55.0	Bacteria	Verrucomicrobiota	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	
1156937	Methylacidiphilum fumariolicum	SolV	55.0	Bacteria	Verrucomicrobiota	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	
481448	Methylacidiphilum infernorum	V4	60.0	Bacteria	Verrucomicrobiota	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	
1202785	Methylacidiphilum kamchatkense	Kam1	55.0	Bacteria	Verrucomicrobiota	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	
1847730	Methylacidiphilum sp.	Yel	55.0	Bacteria	Verrucomicrobiota	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	
1847729	Methylacidiphilum sp.	Phi	55.0	Bacteria	Verrucomicrobiota	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	
876269	Methyloferula stellata	AR4	21.5	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methyloferula	
569860	Methylovirgula ligni	BW863	22.0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylovirgula	
425595	Micrarchaeum acidiphilum (Candidatus)	ARMAN-2	38.0	Archaea	Candidatus Micrarchaeota	Candidatus Micrarchaeia	Candidatus Micrarchaeales	Candidatus Micrarchaeaceae	Candidatus Micrarchaeum	
1078905	Nitrosotalea devanaterra (Candidatus)	Nd1	25.0	Archaea	Nitrososphaerota				Candidatus Nitrosotalea	
1903276	Nitrosotalea okcheonensis	CS	25.0	Archaea	Nitrososphaerota				Candidatus Nitrosotalea	
1002691	Occallatibacter savannae	AB23	34.5	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Occallatibacter	
1552760	Parvarchaeum acidiphilum (Candidatus)	ARMAN-4	41.0	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	
994838	Parvarchaeum acidophilus (Candidatus)	ARMAN-5	38.0	Archaea	Candidatus Parvarchaeota				Candidatus Parvarchaeum	
999898	Peptococcaceae bacterium	CEB3	30.0	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptococcaceae		
1122961	Picrophilus oshimae	DSM 9789	60.0	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus	
263820	Picrophilus torridus	DSM 9790	60.0	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus	
1273541	Pyrodictium delaneyi	Su06	91.0	Archaea	Thermoproteota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrodictium	
1623218	Rhodanobacter aciditrophussjH1	nan	27.5	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	
1525219	Rhodanobacter sp.	FW510-R12	22.5	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	
1524463	Rhodanobacter sp.	FW501-T8	22.5	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	
1076524	Rhodanobacter sp.	OR92	27.0	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	
1076523	Rhodanobacter sp.	OR87	27.0	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	
1524462	Rhodanobacter sp.	FW510-R10	22.5	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	
1071	Rhodopila globiformis	DSM 161	25.0	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Rhodopila	
1855337	Rhodoplanes sp.	JGI PP 4-K5	23.0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Rhodoplanes	
1873883	Rhodoplanes sp.	JGI PP 4-B12	23.0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Rhodoplanes	
1873885	Rhodoplanes sp.	JGI PP 4-N16	23.0	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Rhodoplanes	
2287	Saccharolobus solfataricus	SULA	80.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	
2287	Saccharolobus solfataricus	SARC-H	80.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	
2287	Saccharolobus solfataricus	SARC-N	80.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	
555311	Saccharolobus solfataricus	98/2 SULC	80.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	
2287	Saccharolobus solfataricus	98/2	80.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	
2287	Saccharolobus solfataricus	SUL120	80.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	
2287	Saccharolobus solfataricus	SARC-I	80.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	
2287	Saccharolobus solfataricus	SULM	80.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	
2287	Saccharolobus solfataricus	SULG	80.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	
2287	Saccharolobus solfataricus	SARC-O	80.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	
2287	Saccharolobus solfataricus	P1	78.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	
273057	Saccharolobus solfataricus	P2	78.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	
2287	Saccharolobus solfataricus	SULB	80.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Saccharolobus	
1577686	Silvibacterium bohemicum	S15	23.0	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Silvibacterium	
1970599	Sphingomonadales bacterium	39-62-4	4.2	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales			
1970597	Sphingomonadales bacterium	35-56-22	4.2	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales			
1970598	Sphingomonadales bacterium	39-57-19	4.2	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales			
1970437	Sphingomonas sp.	32-66-10	15.27	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
1970434	Sphingomonas sp.	28-63-12	4.2	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
1970433	Sphingomonas sp.	28-62-20	4.2	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
1970435	Sphingomonas sp.	28-66-16	4.2	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
1970436	Sphingomonas sp.	32-62-10	4.2	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
1970431	Sphingomonas sp.	12-62-6	4.2	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
1970432	Sphingomonas sp.	28-62-11	4.2	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
1970438	Stenotrophomonas sp.	14-69-23	15.27	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	
1449352	Streptacidiphilus albus	JL83	17.5	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptacidiphilus	
105422	Streptacidiphilus carbonis	NBRC 100919	22.5	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptacidiphilus	
235985	Streptacidiphilus jiangxiensis	NBRC 100920	25.0	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptacidiphilus	
105420	Streptacidiphilus neutrinimicus	NBRC 100921	17.5	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptacidiphilus	
1449353	Streptacidiphilus oryzae	TH49 = 107.79	31.5	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Phaeacidiphilus	
164348	Streptomyces puniciscabiei	TW1S1	30.0	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	
53633	Sulfobacillus acidophilus	DSM 10332 = NAL	48.0	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus	
1051632	Sulfobacillus acidophilus	TPY	48.0	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus	
53633	Sulfobacillus acidophilus	AMDSBA3	38.0	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus	
453960	Sulfobacillus benefaciens	AMDSBA4	38.0	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus	
453960	Sulfobacillus benefaciens	AMDSBA1	38.0	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus	
28034	Sulfobacillus thermosulfidooxidans	CBAR13	41.0	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus	
28034	Sulfobacillus thermosulfidooxidans	AMDSBA2	38.0	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus	
28034	Sulfobacillus thermosulfidooxidans	AMDSBA5	38.0	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus	
28034	Sulfobacillus thermosulfidooxidans	AT-1 = DSM 9293	51.0	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus	
28034	Sulfobacillus thermosulfidooxidans	Cutipay	45.0	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus	
28034	Sulfobacillus thermosulfidooxidans	DX	45.0	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus	
1366420	Sulfobacillus thermosulfidooxidans	ST	45.0	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus	
28034	Sulfobacillus thermosulfidooxidans	ZBY	45.0	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus	
28034	Sulfobacillus thermosulfidooxidans	ZJ	45.0	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus	
1326980	Sulfolobales archaeon	AZ1	65.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Candidatus Aramenus	
1126828	Sulfolobales MK5	MK5 r01	70.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales			
2285	Sulfolobus acidocaldarius	GG12-C01-21	80.4	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_CO5_09	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	DG1 = ATCC 49426	75.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
330779	Sulfolobus acidocaldarius	DSM 639	70.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	GG12-C01-01	80.4	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	GG12-C01-02	80.4	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	GG12-C01-03	80.4	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	GG12-C01-04	80.4	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	GG12-C01-05	80.4	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	GG12-C01-07	80.4	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	GG12-C01-08	80.4	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	GG12-C01-09	80.4	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	GG12-C01-10	80.4	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	GG12-C01-11	80.4	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	GG12-C01-12	80.4	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	GG12-C01-13	80.4	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	GG12-C01-14	80.4	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	GG12-C01-15	80.4	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	GG12-C01-16	80.4	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	GG12-C01-17	80.4	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	GG12-C01-18	80.4	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	GG12-C01-20	80.4	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	GG12-C01-22	80.4	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
1028566	Sulfolobus acidocaldarius	N8	80.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05A_C04	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05A_C05_01	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_C03_01	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_C06_02	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_C06_03	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_C06_04	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_C06_05	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_C06_06	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_C06_07	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_C06_11	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_C06_12	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_C06_13	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_CO5_01	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_CO5_02	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_CO5_03	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_CO5_04	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_CO5_05	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_CO5_06	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_CO5_07	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_CO5_08	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	Ron12/I	75.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_CO5_15	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_CO5_14	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_CO5_13	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_CO5_12	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_CO5_11	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2285	Sulfolobus acidocaldarius	NG05B_CO5_10	58.2	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
419942	Sulfolobus islandicus	Y.N.15.51	59.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
439386	Sulfolobus islandicus	Y.G.57.14	72.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
1132506	Sulfolobus islandicus	M.16.47	76.5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
1132505	Sulfolobus islandicus	M.16.46	76.5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
1132504	Sulfolobus islandicus	M.16.43	76.5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
1132503	Sulfolobus islandicus	M.16.40	76.5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
426118	Sulfolobus islandicus	M.16.4	76.5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
1132502	Sulfolobus islandicus	M.16.30	76.5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
427318	Sulfolobus islandicus	M.16.27	76.5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
1132501	Sulfolobus islandicus	M.16.23	76.5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
1132500	Sulfolobus islandicus	M.16.22	76.5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
1132497	Sulfolobus islandicus	M.16.2	76.5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
43080	Sulfolobus islandicus	SCGC AB-777_J04	83.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
1132499	Sulfolobus islandicus	M.16.13	76.5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
1132498	Sulfolobus islandicus	M.16.12	76.5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
427317	Sulfolobus islandicus	M.14.25	91.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
429572	Sulfolobus islandicus	L.S.2.15	78.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
425944	Sulfolobus islandicus	L.D.8.5	78.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
523847	Sulfolobus metallicus	JCM 9184	65.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfuracidifex	
1891280	Sulfolobus sp.	A20	80.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
1294262	Sulfolobus sp.	JCM 16833	60.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfuracidifex	
1987490	Sulfolobus sp.	SCGC_777_G05	83.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
1987491	Sulfolobus sp.	SCGC_777_G06	83.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
1987492	Sulfolobus sp.	SCGC_777_L09	83.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	
2043164	Sulfopaludibacter sp. (Candidatus)	SbA3	14.0	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Solibacteraceae	Candidatus Sulfopaludibacter	
2043166	Sulfopaludibacter sp. (Candidatus)	SbA6	14.0	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Solibacteraceae	Candidatus Sulfopaludibacter	
2043165	Sulfopaludibacter sp. (Candidatus)	SbA4	14.0	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Solibacteraceae	Candidatus Sulfopaludibacter	
2042962	Sulfotelmatobacter kueseliae (Candidatus)	SbA1	14.0	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Candidatus Sulfotelmatobacter	
2043160	Sulfotelmatobacter sp. (Candidatus)	SbA7	14.0	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Candidatus Sulfotelmatobacter	
2043161	Sulfotelmatomonas gaucii (Candidatus)	SbA5	14.0	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Candidatus Sulfotelmatomonas	
1970440	Sulfuricurvum sp.	24-42-5	15.27	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Thiovulaceae	Sulfuricurvum	
1970439	Sulfuricurvum sp.	17-40-25	15.27	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Thiovulaceae	Sulfuricurvum	
273063	Sulfurisphaera tokodaii	7 = JCM 10545	80.0	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfurisphaera	
1970444	Sulfurovum sp.	28-43-6	15.27	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	
1970446	Sulfurovum sp.	39-42-12	15.27	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	
1970443	Sulfurovum sp.	24-42-9	15.27	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	
1970445	Sulfurovum sp.	35-42-20	15.27	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	
1970441	Sulfurovum sp.	16-42-52	15.27	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	
1970442	Sulfurovum sp.	17-42-90	15.27	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	
1577687	Terracidiphilus gabretensis	S55	24.0	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Terracidiphilus	
278961	Terriglobus sp.	TAA 43	17.5	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Terriglobus	
2026795	Thaumarchaeota archaeon	BS1	77.0	Archaea	Nitrososphaerota					
1434080	Thaumarchaeota archaeon	BS4	77.0	Archaea	Nitrososphaerota					
2026795	Thaumarchaeota archaeon	BS3	77.0	Archaea	Nitrososphaerota					
2026795	Thaumarchaeota archaeon	BS2	77.0	Archaea	Nitrososphaerota					
1293040	Thermocladium modestius	JCM 10088	75.0	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermocladium	
1714261	Thermocladium sp.	ECH_B	63.5	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermocladium	
