ncbiTaxID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
1294026	Aciditerrimonas ferrireducens	JCM 15389	50.0	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Aciditerrimonas	
119978	Acidithiobacillus albertensis	DSM 14366	30.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
990288	Acidithiobacillus caldus	SM-1	45.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
33059	Acidithiobacillus caldus	MTH-04	40.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
637389	Acidithiobacillus caldus	ATCC 51756	45.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
1232575	Acidithiobacillus ferridurans	JCM 18981	29.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
160808	Acidithiobacillus ferrivorans	PQ33	14.5	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
160808	Acidithiobacillus ferrivorans	CF27	29.5	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
743299	Acidithiobacillus ferrivorans	SS3	22.5	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
160808	Acidithiobacillus ferrivorans	YL15	28.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
920	Acidithiobacillus ferrooxidans	DLC-5	35.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
920	Acidithiobacillus ferrooxidans	Hel18	30.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
920	Acidithiobacillus ferrooxidans	RVS1	30.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
920	Acidithiobacillus ferrooxidans	YQH-1	32.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
243159	Acidithiobacillus ferrooxidans	ATCC 23270	26.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
380394	Acidithiobacillus ferrooxidans	ATCC 53993	30.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
920	Acidithiobacillus ferrooxidans	BY0502	30.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
920	Acidithiobacillus ferrooxidans	CCM 4253	26.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
1867749	Acidithiobacillus sp.	CJ-2	26.5	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
187490	Acidithiobacillus sp.	SH	30.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
930	Acidithiobacillus thiooxidans	JYC-17	30.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
930	Acidithiobacillus thiooxidans	DXS-W	30.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
930	Acidithiobacillus thiooxidans	DMC	30.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
930	Acidithiobacillus thiooxidans	CLST	28.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
930	Acidithiobacillus thiooxidans	BY-02	30.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
637390	Acidithiobacillus thiooxidans	ATCC 19377	26.0	Bacteria	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
