Source_ID	Name	Strain	Temp	ncbiTaxID
NIES-252	Nephroselmis astigmatica	810-13	20	259378
NIES-2867	Nephroselmis clavistella	Gi134Np	20	926335
NIES-483	Nephroselmis olivacea	S-N-2-1	20	31312
NIES-484	Nephroselmis olivacea	S-N-5-8	20	31312
NIES-485	Nephroselmis olivacea	S-N-3-4	20	31312
NIES-1416	Nephroselmis pyriformis	TKB-187 (nak76)	20	156128
NIES-1817	Nephroselmis pyriformis	TKB-247	20	156128
NIES-1414	Nephroselmis sp.	TKB-076 (nrc055)	20	1279145
NIES-1417	Nephroselmis sp.	TKB-041 (nrc015-028)	20	1279146
NIES-1418	Nephroselmis sp.	TKB-096 (nrc)	20	1279147
NIES-1818	Nephroselmis sp.	TKB-244	20	-1
NIES-2749	Nephroselmis sp.	MH 331	20	-1
NIES-2864	Nephroselmis sp.	PWA-1	20	1279148
NIES-2865	Nephroselmis sp.	PWA-2	20	1279149
NIES-2866	Nephroselmis sp.	PWA-4	20	1279150
NIES-934	Nephroselmis spinosa	S222	20	259379
NIES-935	Nephroselmis spinosa	SD959-3	20	259379
NIES-2309	Nephroselmis viridis	813H-7	20	330888
NIES-486	Nephroselmis viridis	H-70-2	20	330888
NIES-2288	Netrium digitus	nan	20	43946
NIES-2289	Netrium digitus	nan	20	43946
NIES-4269	Nitella acuminata	"CH-130; S142"	20	231898
NIES-1608	Nitella axilliformis	CH-27	22	231902
NIES-1704	Nitella comptonii	S091	20	348169
NIES-1705	Nitella comptonii	S137	20	348169
NIES-1706	Nitella comptonii	S138	20	348169
NIES-2821	Nitella comptonii	CH-256	20	348169
NIES-1611	Nitella flexilis	CH-62: S069	20	3150
NIES-1614	Nitella furcata	CH-23	20	181800
NIES-1617	Nitella furcata	CH-95	20	181800
NIES-1619	Nitella gracilens	CH-26	20	181802
NIES-1620	Nitella gracilens	CH-34	20	181802
NIES-1621	Nitella gracilens	CH-76	20	181802
NIES-1622	Nitella gracilens	CH-77	20	181802
NIES-1623	Nitella hyalina	CH-29	20	181804
NIES-1624	Nitella japonica	CH-63	22	268258
NIES-1628	Nitella megaspora	"CH-114; S073"	20	231900
NIES-1629	Nitella mirabilis	"CH-107; S134"	20	231897
NIES-1616	Nitella moriokae	CH-68	20	181806
NIES-1632	Nitella moriokae	"CH-48; S133"	20	181806
NIES-1633	Nitella moriokae	"CH-61; S105"	20	181806
NIES-1634	Nitella pulchella	"CH-112; S051"	20	181799
NIES-1635	Nitella sp.	CH-46	20	-1
NIES-1637	Nitellopsis obtusa	CH-1	20	40811
NIES-1638	Nitellopsis obtusa	CH-56	20	40811
NIES-4020	Nitzschia brevissima	SH-3943-a	20	-1
NIES-3858	Nitzschia fruticosa	Sort 135	20	-1
NIES-2726	Nitzschia palea	K23-4	15	303400
NIES-2727	Nitzschia palea	KD1	15	303400
NIES-2728	Nitzschia palea	PD3	15	303400
NIES-2729	Nitzschia palea	U3-3	15	303400
NIES-487	Nitzschia palea	3st-0-57	15	303400
NIES-489	Nitzschia palea	Ast-2-2	15	303400
NIES-4239	Nitzschia putrida	PL1-1	20	2742595
NIES-1339	Nitzschia sp.	A6	15	-1
NIES-1340	Nitzschia sp.	B4	15	-1
NIES-3576	Nitzschia sp.	A4	20	2083273
NIES-3577	Nitzschia sp.	B3	20	1444704
NIES-3578	Nitzschia sp.	N4	20	1444698
NIES-3579	Nitzschia sp.	IriIs01	20	1444688
NIES-3580	Nitzschia sp.	IriIs03	20	1444689
NIES-3581	Nitzschia sp.	IriIs04	20	2083274
NIES-3877	Nitzschia sp.	E09	20	1802955
NIES-4394	Nodosilinea sp.	AL3	22	2562300
NIES-3585	Nodularia sp.	CIT044	25	1973477
NIES-4396	Nodularia sp.	AL6	22	2684428
NIES-2433	Norrisiella sphaerica	TKB-329	20	552664
NIES-2107	Nostoc carneum	nan	20	1973483
NIES-24	Nostoc commune	nan	20	1178
NIES-2538	Nostoc commune	KU002	20	1178
NIES-38	Nostoc commune	M-48-a	20	1178
NIES-3989	Nostoc commune	KU006	20	1178
NIES-3990	Nostoc commune	KU007	20	1178
NIES-3991	Nostoc commune	KU008	20	1178
NIES-25	Nostoc linckia	nan	20	1091006
NIES-28	Nostoc linckia	nan	20	92942
NIES-26	Nostoc minutum	nan	20	1844469
NIES-29	Nostoc minutum	nan	20	1841509
NIES-2108	Nostoc punctiforme	nan	20	1356359
NIES-2094	Nostoc sp.	Ishikawa 99.J403w.	20	1907179
NIES-2109	Nostoc sp.	HK-01	20	196308
NIES-2110	Nostoc sp.	YK-01	20	1973473
NIES-2111	Nostoc sp.	KK-01	20	1973475
NIES-2112	Nostoc sp.	nan	20	-1
NIES-2113	Nostoc sp.	IK-01	20	-1
NIES-2114	Nostoc sp.	HK-02	20	1137087
NIES-3756	Nostoc sp.	CIT038	20	1751286
NIES-4103	Nostoc sp.	CIT020	20	2005458
NIES-2539	Nostoc verrucosum	KU005	20	633391
NIES-2142	Ochromonas danica	nan	20	2986
NIES-2143	Ochromonas minuta	nan	20	984272
NIES-1828	Ochromonas sp.	TKB-152	20	-1
NIES-2300	Ochromonas sp.	KY-1S	20	-1
NIES-1395	Ochrosphaera neapolitana	TKB-103 (ym-11)	15	35137
NIES-1964	Ochrosphaera neapolitana	TKB-324	20	35137
NIES-2781	Ochrosphaera sp.	MH 393	15	-1
NIES-589	Odontella aurita	St-22	15	265563
NIES-590	Odontella longicruris	St-11	15	555717
NIES-203	Oedogonium obesum	807	20	426496
NIES-1379	Olisthodiscus luteus	TKB-097 (nrc)	20	83000
NIES-1831	Olisthodiscus luteus	TKB-262	20	83000
NIES-15	Olisthodiscus tomasii	Olisth	20	-1
NIES-672	Oltmannsiellopsis geminata	nan	20	284972
NIES-359	Oltmannsiellopsis unicellularis	810YB-6	20	260212
NIES-3631	Oltmannsiellopsis unicellularis	KGW-154	20	260212
NIES-1825	Oltmannsiellopsis viridis	TKB-249	20	51324
NIES-360	Oltmannsiellopsis viridis	8280G41-2	20	51324
NIES-3630	Oltmannsiellopsis viridis	KGW-94	20	51324
NIES-659	Oocystis borgei	AT2-26	15	1803568
NIES-660	Oocystis lacustris	Ast-3-1	15	402398
NIES-661	Oocystis lacustris	4st-3-9	20	402398
NIES-662	Oocystis lacustris	1st-2-9	20	402398
NIES-4297	Oocystis sp.	sort 97	20	2563806
NIES-3643	Oogamochlamys sp.	IKE31	20	1334256
NIES-3644	Oogamochlamys sp.	IKE32	20	1334257
NIES-1320	Oolithotus fragilis	MH 35	20	573976
NIES-1321	Oolithotus fragilis	MH 58	20	573976
NIES-1322	Oolithotus fragilis	MH 80	20	573976
NIES-1011	Ophiocytium capitatum	#86	15	308876
NIES-1384	Ophiocytium capitatum	TKB-125 (nak19)	20	308876
NIES-1385	Ophiocytium parvulum	TKB-126 (nak20)	20	308877
NIES-2859	Ophiocytium sp.	"XH-1; nak-8"	20	-1
NIES-361	Oscillatoria amphibia	Oa	20	471288
NIES-31	Oscillatoria laetevirens	nan	20	2507915
NIES-36	Oscillatoria limnetica	nan	20	2510787
NIES-2116	Oscillatoria neglecta	Murano 400 (PC-G)	20	454132
NIES-208	Oscillatoria rosea	NGS-1	20	454133
NIES-33	Oscillatoria tenuis	nan	20	549786
NIES-4317	Ostravamonas trianguloculus	"YgT1304B4; TKAC 3013"	20	2559822
NIES-4318	Ostravamonas trianguloculus	Strain 046	20	2559822
NIES-2895	Ostreococcus lucimarinus	WK sort12	20	242159
NIES-2531	Ostreococcus sp.	Isg1	20	-1
NIES-2674	Ostreococcus sp.	Eum16BBL_clonal	20	385169
NIES-2673	Ostreococcus tauri	OTTH 0595	20	70448
NIES-3351	Ostreopsis cf. ovata	s0752	20	119758
NIES-2378	Ovaloplaca yabukii	TKB-345	20	717846
NIES-2377	Ovulinata parva	TKB-342	20	985831
NIES-494	Oxyrrhis marina	370OX	20	2969
NIES-572	Pandorina colemaniae	88-1025-1	20	47786
NIES-573	Pandorina colemaniae	89-0131-P-3	20	47786
NIES-242	Pandorina morum	Oz-Pa-2	20	33099
NIES-243	Pandorina morum	Oz-Pa-3	20	33099
NIES-362	Pandorina morum	Oz-Pa-1	20	33099
NIES-4469	Pandorina morum	2015-0502-Isa5	20	33099
NIES-4470	Pandorina morum	2015-0502-Isa6	20	33099
NIES-574	Pandorina morum	7916-P-7	20	33099
NIES-575	Pandorina morum	7916-P-8	20	33099
NIES-886	Pandorina morum	nan	20	33099
NIES-887	Pandorina morum	nan	20	33099
NIES-888	Pandorina morum	nan	20	33099
NIES-889	Pandorina morum	nan	20	33099
NIES-890	Pandorina morum	Ishi-1	20	33099
NIES-2450	Paracercomonas elongata	IVY11	20	686751
NIES-2451	Paracercomonas oxoniensis	WA8	20	686746
NIES-2452	Paracercomonas paralaciniaegerens	31-1C	20	686752
NIES-2453	Paracercomonas pleomorpha	19-5C	20	686770
NIES-2454	Paracercomonas producta	WA42	20	686743
NIES-2152	Parachlorella kessleri	nan	20	3074
NIES-2153	Parachlorella kessleri	nan	20	3074
NIES-2154	Parachlorella kessleri	nan	20	3074
NIES-2155	Parachlorella kessleri	nan	20	3074
NIES-2156	Parachlorella kessleri	nan	20	3074
NIES-2157	Parachlorella kessleri	nan	20	3074
NIES-2158	Parachlorella kessleri	nan	20	3074
NIES-2159	Parachlorella kessleri	nan	20	3074
NIES-2160	Parachlorella kessleri	nan	20	3074
NIES-2161	Parachlorella kessleri	nan	20	3074
NIES-2162	Parachlorella kessleri	Schwarze 125	20	3074
NIES-2177	Parachlorella kessleri	nan	20	3074
NIES-2178	Parachlorella kessleri	nan	20	3074
NIES-2179	Parachlorella kessleri	nan	20	3074
NIES-2891	Paramecium bursaria	M-230	20	74790
NIES-1377	Paraphysomonas vestita	TKB-136 (NY0155)	20	36770
NIES-602	Paraphysomonas vestita	nan	20	36770
NIES-3574	Parietochloris toyamaensis	70716G3	20	2854250
NIES-3749	Pascherina tetras	Isa28	20	710656
NIES-3750	Pascherina tetras	Isa41	20	710656
NIES-2635	Paulinella chromatophora	FK01	20	39717
NIES-4060	Paulinella micropora	MYN1	20	1928728
NIES-727	Paulschulzia pseudovolvox	nan	20	56011
NIES-3900	Pavlomulina ranunculiformis	Pavlom	20	2748608
NIES-623	Pavlova gyrans	MB-D-24	20	44452
NIES-1398	Pavlova pinguis	TKB-068 (AK-10)	20	119481
NIES-1399	Pavlova sp.	TKB-069 (AK-11)	20	-1
NIES-1400	Pavlova sp.	TKB-070 (AK-12)	20	-1
NIES-1401	Pavlova sp.	TKB-093 (nrc)	20	-1
NIES-1815	Pavlova sp.	TKB-241	20	-1
NIES-1816	Pavlova sp.	TKB-242	20	-1
NIES-1965	Pavlova sp.	TKB-326	20	-1
NIES-2773	Pavlova sp.	MH 336	20	-1
NIES-3656	Pavlova sp.	MH 474	20	-1
NIES-300	Pediastrum angulosum	83-24-1-7	20	271408
NIES-301	Pediastrum boryanum	TAC 56-3A (TAN-56-3A)	20	55410
NIES-210	Pediastrum duplex	Pe-16	20	3105
NIES-211	Pediastrum duplex	F50-1	20	3105
NIES-212	Pediastrum duplex	KW-P-1	20	3105
NIES-213	Pediastrum duplex	AQ-P-1	20	3105
NIES-214	Pediastrum duplex	KR-P-2	20	3105
NIES-215	Pediastrum simplex	B-P-18	20	271407
NIES-4031	Pediludiella daitoensis	LxSd1	20	2571019
NIES-2346	Pedinella sp.	92-912-1	10	-1
NIES-1008	Pedinella squamata	M-11	20	189818
NIES-363	Pedinomonas minor	H31P4	20	3159
NIES-1003	Pelagomonas calceolata	nan	20	35677
NIES-2689	Pelagomonas calceolata	MAXEuk 72	20	35677
NIES-2690	Pelagomonas calceolata	REDSEA2C	20	35677
NIES-2691	Pelagomonas calceolata	OLI120FC	20	35677
NIES-3391	Pelagomonas calceolata	SH6-A	20	35677
NIES-2770	Pelagomonas sp.	MH 304	20	-1
NIES-4106	Pelatocladus sp.	CIT040	20	2005456
NIES-217	Penium margaritaceum	N-76-20	20	102169
NIES-2667	Penium margaritaceum	izu84-10	22	102169
NIES-303	Penium margaritaceum	84-25-1	20	102169
NIES-1441	Percolomonas sp.	TKB-016 (NY0123)	15	-1
NIES-495	Peridinium bipes	LOND-9	15	2868
NIES-1405	Peridinium pseudolaeve	TKB-048 (nak-03)	15	142112
NIES-501	Peridinium volzii	SPSP-2	15	425809
NIES-304	Peridinium willei	8423-P	15	142113
NIES-858	Phacotus lenticularis	KR 91/1	20	52965
NIES-859	Phacotus lenticularis	nan	20	52965
NIES-1396	Phaeocystis globosa	TKB-032 (AK-03)	20	33658
NIES-388	Phaeocystis globosa	8-P	15	33658
NIES-4392	Phaeodactylum tricornutum	"Pt1 8.6; Pt Gen"	20	2850
NIES-2693	Phaeomonas sp.	BL_149-10	20	301232
NIES-2126	Phormidesmis molle	Murano 386 (W1-21U)	20	128142
NIES-509	Phormidesmis molle	AT2-17	20	128142
NIES-2119	Phormidium ambiguum	Murano 394 (W1-27(1))	20	71191
NIES-2123	Phormidium angustissimum	nan	20	1005724
NIES-32	Phormidium foveolarum	nan	20	47253
NIES-34	Phormidium foveolarum	nan	20	47253
NIES-503	Phormidium foveolarum	(1)-48	20	47253
NIES-505	Phormidium foveolarum	AT4-17	20	47253
NIES-506	Phormidium jenkelianum	AT5-37	20	-1
NIES-507	Phormidium jenkelianum	Ast-1-4	20	-1
NIES-2125	Phormidium luridum	Murano 397 (W1-32(2))	20	2510788
NIES-510	Phormidium mucicola	(1)-23	20	454134
NIES-2115	Phormidium sp.	nan	20	2510784
NIES-2120	Phormidium sp.	nan	20	2510783
NIES-2121	Phormidium sp.	nan	20	2510782
NIES-2128	Phormidium sp.	nan	20	118172
NIES-4263	Phormidium sp.	strain KS	20	654446
NIES-4393	Phormidium sp.	AL1	22	2562302
NIES-3675	Picochlorum maculatum	MH 477	20	133488
NIES-1270	Picochlorum sp.	M-66	20	619274
NIES-2763	Picochlorum sp.	MH 374	20	-1
NIES-2894	Picochlorum sp.	WKsort4	20	-1
NIES-2586	Picophagus flagellatus	OLI11SC2D	20	106529
NIES-1013	Placidia cafeteriopsis	#51	15	159342
NIES-1014	Placidia cafeteriopsis	#69	15	159342
NIES-514	Planctonema lauterbornii	K880818	20	415190
NIES-2268	Planktosphaeria gelatinosa	nan	20	170393
NIES-207	Planktothricoides raciborskii	K-O-R	20	443938
NIES-3114	Planktothricoides raciborskii	Thai-10-3	20	132608
NIES-917	Planktothricoides raciborskii	INBaOR	20	443939
NIES-918	Planktothricoides raciborskii	"T1-6-2; ANMR 20009"	20	443934
NIES-920	Planktothricoides raciborskii	Kase1-2	20	132608
NIES-921	Planktothricoides raciborskii	Kase3-5	20	132608
NIES-925	Planktothricoides raciborskii	P2	20	132608
NIES-926	Planktothricoides raciborskii	Ho12-3 Or-4	20	132608
NIES-927	Planktothricoides raciborskii	Ho12-3 Or-9	20	132608
NIES-1258	Planktothrix agardhii	SUI-CT-1	22	1160
NIES-1263	Planktothrix agardhii	DU-Oa-2-3	20	1160
NIES-1264	Planktothrix agardhii	DU-Oa-3-3	20	1160
NIES-1265	Planktothrix agardhii	DU-Oa-5-5	20	1160
NIES-204	Planktothrix agardhii	K-O-A	25	282423
NIES-205	Planktothrix agardhii	TAC 53 (K-TAN-53)	25	443925
NIES-4035	Planktothrix agardhii	Ak870	20	1160
NIES-4054	Planktothrix agardhii	Ak1338	20	1160
NIES-594	Planktothrix agardhii	K-8	20	443924
NIES-595	Planktothrix agardhii	3A(2)	20	443923
NIES-596	Planktothrix agardhii	VLOA 7	20	443922
NIES-905	Planktothrix agardhii	nan	20	1160
NIES-910	Planktothrix agardhii	P3-5	20	1160
NIES-989	Planktothrix agardhii	Mikata1-3	20	1160
NIES-990	Planktothrix agardhii	Mikata1-6	20	1160
NIES-844	Planktothrix mougeotii	"TR1-5; ANMR 20011"	20	443927
NIES-911	Planktothrix mougeotii	"TR2-4; ANMR 20012"	20	443926
NIES-912	Planktothrix mougeotii	"TK4-5; ANMR 20013"	20	443929
NIES-913	Planktothrix mougeotii	"TK5-1; ANMR 20014"	20	443928
NIES-845	Planktothrix pseudagardhii	"T1-8-4; ANMR 20006"	20	132604
NIES-915	Planktothrix pseudagardhii	"T19-6'-6; ANMR 20007"	20	132604
NIES-916	Planktothrix pseudagardhii	"T19-6'-8; ANMR 20008"	20	132604
NIES-2871	Planktothrix raciborskii	20081009-1	20	132608
NIES-1266	Planktothrix rubescens	DU-Oa-4-1	20	603428
NIES-1267	Planktothrix rubescens	DU-Oa-4-2	20	59512
NIES-610	Planktothrix rubescens	nan	20	59512
NIES-928	Planktothrix rubescens	nan	20	59512
NIES-45	Planktothrix spiroides	KAS-6-50	24	1354360
NIES-597	Planktothrix spiroides	T-43	22	1354360
NIES-3736	Planktothrix suspensa	SZ-5	20	1035353
NIES-2730	Planothidium frequentissimum	K6-10	15	1530226
NIES-2731	Planothidium lanceolatum	K28-9	15	216798
NIES-728	Platydorina caudata	nan	20	51709
NIES-729	Platydorina caudata	nan	23	51709
NIES-3276	Plectonema boryanum	nan	20	1184
NIES-576	Pleodorina californica	nan	25	47285
NIES-735	Pleodorina californica	nan	20	47285
NIES-736	Pleodorina indica	nan	23	51710
NIES-577	Pleodorina japonica	6715-7	20	47788
NIES-1361	Pleodorina starrii	2000-602-P11	20	330485
NIES-1362	Pleodorina starrii	2000-602-P14	20	330485
NIES-1363	Pleodorina starrii	2000-602-P15	20	330485
NIES-1364	Pleodorina starrii	2001-608-P17	20	330485
NIES-1365	Pleodorina starrii	2001-608-P21	20	330485
NIES-1366	Pleodorina starrii	2001-608-P26	20	330485
NIES-1852	Pleodorina starrii	2005-701-F1-1	20	330485
NIES-1853	Pleodorina starrii	2005-701-F1-3	20	330485
NIES-1854	Pleodorina starrii	2005-701-F1-5	20	330485
NIES-4479	Pleodorina starrii	2007-1003-P85	20	330485
NIES-4480	Pleodorina starrii	2013-0614-P7	20	330485
NIES-4481	Pleodorina starrii	2018-0609-2P1	20	330485
NIES-4482	Pleodorina starrii	2013-0614-P10	20	330485
NIES-4483	Pleodorina starrii	2019-0427-F1-1	20	330485
NIES-4484	Pleodorina starrii	2019-0427-F1-2	20	330485
NIES-4126	Pleodorina thompsonii	strain RT	20	330484
NIES-4102	Pleurocapsa sp.	CIT043	20	2005460
NIES-1814	Pleurochrysis sp.	TKB-231	20	-1
NIES-306	Pleurotaenium cylindricum	F57-18-4	22	-1
NIES-308	Pleurotaenium ehrenbergii	W-1-3	20	184515
NIES-309	Pleurotaenium ehrenbergii	R-13-27	20	184515
NIES-310	Pleurotaenium ehrenbergii	R-13-30	20	184515
NIES-311	Pleurotaenium ehrenbergii	R-13-19	20	184515
NIES-312	Pleurotaenium nodosum	83-24-3	20	1117213
NIES-663	Pleurotaenium nodosum	93-913-Gon-1	20	1117213
NIES-664	Pleurotaenium nodosum	93-913-Gon-3	20	1117213
NIES-785	Pleurotaenium nodosum	86-7-15	20	1117213
NIES-786	Pleurotaenium nodosum	86-7-16	22	1117213
NIES-787	Pleurotaenium nodosum	85-30-9	22	1117213
NIES-788	Pleurotaenium nodosum	85-30-56	22	1117213
NIES-313	Pleurotaenium ovatum	F57-17-8	20	1117215
NIES-4540	Podomonas kaiyoae	YPF1504	20	2976774
NIES-232	Polyedriopsis spinulosa	F128	20	162320
NIES-1957	Porphyridium aerugineum	TAC 578	20	2792
NIES-1958	Porphyridium aerugineum	TAC 579	20	2792
NIES-1959	Porphyridium aerugineum	TAC 580	20	2792
NIES-1960	Porphyridium aerugineum	TAC 581	20	2792
NIES-2138	Porphyridium purpureum	nan	20	35688
NIES-2139	Porphyridium purpureum	nan	20	35688
NIES-2140	Porphyridium purpureum	nan	20	35688
NIES-1032	Porphyridium sp.	nan	20	-1
NIES-1033	Porphyridium sp.	nan	20	-1
NIES-1034	Porphyridium sp.	nan	20	-1
NIES-1035	Porphyridium sp.	nan	20	-1
NIES-1807	Porphyridium sp.	TKB-255	20	-1
NIES-2144	Poterioochromonas malhamensis	nan	20	88167
NIES-2582	Prasinoderma coloniale	Biosope_34B2_FL2-5	20	156133
NIES-2750	Prasinoderma sp.	MH 346	20	-1
NIES-2086	Prochlorococcus marinus	SS52	20	1219
NIES-2087	Prochlorococcus marinus	MED4	20	1219
NIES-2880	Prochlorococcus marinus	SS120-04/95	20	1219
NIES-2881	Prochlorococcus sp.	"NATL1-M98; FP12"	20	167555
NIES-2882	Prochlorococcus sp.	"TATL2; EUM17"	20	1219
NIES-2883	Prochlorococcus sp.	TATL4-C1	20	1219
NIES-2884	Prochlorococcus sp.	SB-3C1	20	1219
NIES-2885	Prochlorococcus sp.	EQPAC1-C	20	1219
NIES-2886	Prochlorococcus sp.	GP2	20	1219
NIES-2887	Prochlorococcus sp.	MIT9313	20	74547
NIES-2888	Prochlorococcus sp.	"REDSEA_12-2; EILAT_12-2"	20	1219
NIES-3376	Prochlorococcus sp.	NATL2-M98C2B	20	1219
NIES-4554	Prorocentrum caipirignum	KON30P15	22	1971612
NIES-3441	Prorocentrum concavum	KGW-153	20	72681
NIES-2010	Prorocentrum dentatum	SY06-6	20	260685
NIES-2011	Prorocentrum dentatum	SY06-8	20	260685
NIES-2014	Prorocentrum dentatum	SY06-11	20	260685
NIES-3444	Prorocentrum dentatum	KGW-263	20	260685
NIES-682	Prorocentrum dentatum	nan	20	260685
NIES-900	Prorocentrum dentatum	KC37-PD	20	260685
NIES-4555	Prorocentrum lima	KON83P	22	39448
NIES-4557	Prorocentrum lima	MIO52P	22	39448
NIES-4558	Prorocentrum lima	OMI29P	22	39448
NIES-617	Prorocentrum lima	PL-03	20	39448
NIES-1967	Prorocentrum mexicanum	TKB-328	20	72677
NIES-618	Prorocentrum mexicanum	PX-01	20	72677
NIES-12	Prorocentrum micans	OPm	20	2945
NIES-1406	Prorocentrum micans	TKB-138 (TC01)	20	2945
NIES-218	Prorocentrum micans	KGW-13-7	20	2945
NIES-316	Prorocentrum micans	MB-D-4	20	2945
NIES-601	Prorocentrum micans	nan	20	2945
NIES-237	Prorocentrum minimum	OPmin	20	39449
NIES-238	Prorocentrum minimum	KGW-14-2-5	20	39449
NIES-3442	Prorocentrum sp.	"KGW-225; Sukumo"	20	-1
NIES-3443	Prorocentrum sp.	"KGW-253; 01-2"	20	-1
NIES-3438	Prorocentrum triestinum	KGW-28	20	39450
NIES-1005	Proteomonas sp.	M-23	15	2867502
NIES-1375	Proteomonas sp.	TKB-122 (AK-15)	20	2867505
NIES-1703	Protodesmus globulifer	HP1-13-26	20	326141
NIES-3746	Protosiphon botryoides	Handa-2029B-b	20	44656
NIES-3747	Protosiphon botryoides	Handa-2296-e	20	44656
NIES-1330	Prymnesium calathiferum	TKB-062 (ym-07)	20	44453
NIES-1393	Prymnesium neolepis	TKB-005 (ym-05)	20	284051
NIES-1017	Prymnesium parvum	#22	15	97485
NIES-1018	Prymnesium parvum	M-25	15	97485
NIES-1812	Prymnesium parvum	TKB-251	20	97485
NIES-1397	Prymnesium sp.	TKB-084 (nrc060)	20	-1
NIES-2747	Psammoneis sp.	nan	15	-1
NIES-4062	Pseudanabaena cenerea	Ak1349	20	2023166
NIES-4063	Pseudanabaena cenerea	Ak1351	20	2023167
NIES-4064	Pseudanabaena cenerea	Ak1548	20	2023164
NIES-4065	Pseudanabaena cenerea	Ak1550	20	2661619
NIES-512	Pseudanabaena foetida	PM-81A	20	1912600
NIES-305	Pseudanabaena sp.	841211St5-1	20	1954175
NIES-3738	Pseudanabaena sp.	SZ-7	20	-1
NIES-4403	Pseudanabaena sp.	ILC 545	30	2762024
NIES-611	Pseudanabaena sp.	Bpt	25	-1
NIES-4059	Pseudanabaena subfoetida	"Ak1318; PS1306"	20	1590023
NIES-4237	Pseudanabaena yagii	Ak1585	20	2023174
NIES-4238	Pseudanabaena yagii	Ak1604	20	2023175
NIES-2501	Pseudendoclonium sp.	TKB-354	20	-1
NIES-522	Pseudocarteria mucosa	M-2	20	193547
NIES-523	Pseudocarteria mucosa	USI-8	20	193547
NIES-524	Pseudocarteria mucosa	M-4	20	193547
NIES-670	Pseudochattonella verruculosa	nan	20	475233
NIES-850	Pseudochattonella verruculosa	nan	15	475233
NIES-2150	Pseudochlorella pringsheimii	nan	20	3072
NIES-2713	Pseudococcomyxa simplex	KR 1988/12	15	464287
NIES-2901	Pseudodictyosphaerium sp.	isolation20	20	-1
NIES-996	Pseudomarvania ampulliformis	Handa-299(f)	20	200484
NIES-1383	Pseudo-nitzschia sp.	TKB-101 (ym-09)	15	-1
NIES-209	Pseudopediastrum alternans	K-P-40	20	983991
NIES-1381	Pseudopedinella pyriformis	TKB-191 (nak80)	20	656189
NIES-1810	Pseudopedinella pyriformis	TKB-221	20	656189
NIES-159	Pseudopleurococcus printzii	KUC6-2	20	1400012
NIES-246	Pseudoschroederia antillarum	F47-3	25	132190
NIES-1419	Pseudoscourfieldia marina	TKB-144 (nak33)	20	41886
NIES-1420	Pseudoscourfieldia marina	TKB-212 (nak99)	20	41886
NIES-2183	Pseudotrebouxia corticola	nan	20	103875
NIES-738	Pteromonas aculeata	970603-PtAcl	20	-1
NIES-860	Pteromonas aculeata	970801-2	20	-1
NIES-739	Pteromonas angulosa	970603-PtAng	20	77548
NIES-861	Pteromonas angulosa	KR 91/2	20	77548
NIES-862	Pteromonas angulosa	KR 91/3	20	77548
NIES-740	Pteromonas multipyrenoidea	970603-PtMul	20	-1
NIES-3920	Pteromonas sp.	isolation 53	20	1810841
NIES-221	Pterosperma cristatum	H-88-1	20	38836
NIES-626	Pterosperma cristatum	89KGW-1	15	38836
NIES-936	Pterosperma cristatum	Pt	20	38836
NIES-2893	Pycnococcus provasolii	WK sort3	20	41880
NIES-2741	Pycnococcus sp.	NY0201	15	-1
NIES-2751	Pycnococcus sp.	MH 318	20	41880
NIES-2752	Pycnococcus sp.	MH 326	20	-1
NIES-2753	Pycnococcus sp.	MH 337	20	41880
NIES-2754	Pycnococcus sp.	MH 409	15	-1
NIES-251	Pyramimonas aff. amylifera	KGW-64-3	20	1486889
NIES-320	Pyramimonas aff. amylifera	8280G47-5	20	1486889
NIES-1421	Pyramimonas cordata	TKB-130 (nak24)	20	647622
NIES-1422	Pyramimonas cordata	TKB-203 (nak92)	20	647622
NIES-1423	Pyramimonas cordata	TKB-218 (nak104)	20	647622
NIES-1819	Pyramimonas disomata	TKB-226	20	67781
NIES-1424	Pyramimonas grossii	TKB-141 (nak30)	20	36887
NIES-1425	Pyramimonas grossii	TKB-202 (nak91)	20	36887
NIES-1820	Pyramimonas grossii	TKB-248	20	36887
NIES-254	Pyramimonas parkeae	8-25-2	20	36894
NIES-1821	Pyramimonas propulsa	TKB-223	20	36895
NIES-1822	Pyramimonas propulsa	TKB-246	20	36895
NIES-1823	Pyramimonas propulsa	TKB-250	20	36895
NIES-1426	Pyramimonas sp.	TKB-086 (nrc062)	20	-1
NIES-1427	Pyramimonas sp.	TKB-143 (nak32)	20	-1
NIES-3392	Pyramimonas sp.	7-Py	20	1401163
NIES-3393	Pyramimonas sp.	Ab4-11	20	1401164
NIES-3394	Pyramimonas sp.	Ab4-13	20	1401165
NIES-3395	Pyramimonas sp.	BiP3	20	-1
NIES-3396	Pyramimonas sp.	Hae5Py5	20	1401167
NIES-3397	Pyramimonas sp.	Ka10	20	1401170
NIES-3398	Pyramimonas sp.	M1Py1	20	1401171
NIES-3399	Pyramimonas sp.	Mad5-2	20	1401173
NIES-3401	Pyramimonas sp.	MIY1-8	20	1401177
NIES-3402	Pyramimonas sp.	Mk7N1	20	1401178
NIES-3403	Pyramimonas sp.	OD6P1	20	1401181
NIES-3404	Pyramimonas sp.	OEF03-4	20	-1
NIES-3405	Pyramimonas sp.	OEO3-3	20	1401183
NIES-3406	Pyramimonas sp.	Ok2P3	20	1401186
NIES-3407	Pyramimonas sp.	Py4	20	1401187
