ncbiTaxID	Name	Strain	Temp	Superkingdom	Phylum	Class	Order	Family	Genus
1434123	Methanosarcina vacuolata	Z-761	38,5	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
547559	Natrialba magadii	ATCC 43099	38,5	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrialba
797303	Natrinema pellirubrum	DSM 15624	38,5	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrinema
60847	Halogeometricum borinquense	PR 3	40	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halogeometricum
272569	Haloarcula marismortui	ATCC 43049	45	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula
309800	Haloferax volcanii	DS2	45	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax
543526	Haloterrigena turkmenica	DSM 5511	45	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Haloterrigena
2257	Natronomonas pharaonis	Gabara	45	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas
644295	Methanohalobium evestigatum	Z-7303	47,5	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalobium
2252	Haloferax mediterranei	CGMCC 1.2087	48,5	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax
2242	Halobacterium salinarum	DSM 671 = R1	50	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium
2242	Halobacterium salinarum	NRC-1; ATCC 700922	50	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium
523844	Methanosarcina thermophila	TM-1	52,5	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
273075	Thermoplasma acidophilum	DSM 1728	59	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma
145263	Methanothermobacter marburgensis	Marburg	60	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter
145262	Methanothermobacter thermautotrophicus	Delta H	60	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter
145261	Methanothermobacter wolfeii	[isolate SIV6]	60	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter
273116	Thermoplasma volcanium	GSS1	60	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma
647113	Methanothermococcus okinawensis	IH1	62,5	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus
2285	Sulfolobus acidocaldarius	DG1	72,5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
330779	Sulfolobus acidocaldarius	DSM 639	72,5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
1028566	Sulfolobus acidocaldarius	N8	72,5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
2285	Sulfolobus acidocaldarius	Ron12/I	72,5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
2285	Sulfolobus acidocaldarius	Y14 13-1	72,5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
2285	Sulfolobus acidocaldarius	Y14 16-22	72,5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
2285	Sulfolobus acidocaldarius	Y14 18-5	72,5	Archaea	Thermoproteota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
