Name	Strain	Temp	ncbiTaxID	Superkingdom	Phylum	Class	Order	Family	Genus
Chromohalobacter salexigens	CHR95	37.0	158080	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Chromohalobacter salexigens	CHR95	37.0	158080	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Chromohalobacter salexigens	CHR95	37.0	158080	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Chromohalobacter salexigens	CHR95	37.0	158080	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Chromohalobacter salexigens	CHR161	37.0	158080	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Chromohalobacter salexigens	CHR161	37.0	158080	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Chromohalobacter salexigens	CHR161	37.0	158080	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Chromohalobacter salexigens	CHR161	37.0	158080	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Chromohalobacter salexigens	CHR161	37.0	158080	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Chromohalobacter salexigens	CHR161	37.0	158080	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Chromohalobacter salexigens	CHR161	37.0	158080	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Chromohalobacter salexigens	CHR161	37.0	158080	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
Chromohalobacter salexigens	CHR183	37.0	158080	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter
