growthID	strainID	medID	sourceID	Growth_Rate	Growth_Units	pH	Temperature_C	Additional_Notes	contributor_id	approved
158	39	122	35	0,52	1/h		37		1	1
159	40	122	35	0,57	1/h		37		1	1
160	41	122	35	0,52	1/h		37		1	1
161	42	122	35	0,51	1/h		37		1	1
189	17	78	17	0,658	1/h		37		1	1
190	17	79	17	0,834	1/h		37		1	1
191	17	80	17	0,57	1/h		37		1	1
192	17	80	17	0,76	1/h		37	adaptive growth	1	1
193	17	40	19			7	30	forced aeration	1	1
194	17	82	18			7	30	forced aeration	1	1
196	17	84	19			7	30	forced aeration	1	1
197	17	85	19			7	30	forced aeration	1	1
198	17	86	19			7	30	forcer aeration	1	1
199	17	87	19			7	30	forced aeration	1	1
200	29	90	22	0,0226754	1/h	6,6	22	anaerobic	1	1
201	30	90	22	0,033283	1/h	6,6	22	anaerobic	1	1
202	29	91	22	0,0071706	1/h	6,6	22	anaerobic	1	1
203	30	91	22	0,0113646	1/h	6,6	22	anaerobic	1	1
204	29	90	22	0,0408424	1/h	6,6	37	anaerobic	1	1
205	30	90	22	0,0828931	1/h	6,6	37	anaerobic	1	1
206	29	91	22	0,0050548	1/h	6,6	37	anaerobic	1	1
207	30	91	22	0,0362459	1/h	6,6	37	anaerobic	1	1
208	29	90	22	0,0532017	1/h	6,6	42	anaerobic	1	1
209	30	90	22	0,0647308	1/h	6,6	42	anaerobic	1	1
210	31	92	23	0,22142	1/h		37	anaerobic	1	1
211	32	93	24	0,295	1/h		37	generation time growth data	1	1
212	32	94	24	0,266	1/h		37	generation time growth data	1	1
213	32	95	24	0,11	1/h		37	generation time growth data	1	1
214	32	96	24	0,206	1/h		37	generation time growth data	1	1
215	32	97	24	0,17	1/h		37	generation time growth data	1	1
216	32	98	24	0,262	1/h		37	generation time growth data	1	1
217	32	99	24	0,271	1/h		37	generation time growth data	1	1
218	32	100	24	0,165	1/h		37	generation time growth data	1	1
219	32	101	24	0,241	1/h		37	generation time growth data	1	1
231	36	104	30	0,42	1/h	7	37		1	1
233	36	106	31	0,9	1/h	7	37		1	1
234	36	107	32			7,4	37		1	1
235	36	108	33	0,242	1/h		37		1	1
236	36	109	33	0,18	1/h		37		1	1
237	36	110	31	0,82	1/h	7	37		1	1
238	36	111	31	0,98	1/h	7	37		1	1
239	36	112	31	0,4	1/h	7	37		1	1
240	36	113	31	0,46	1/h	7	37		1	1
241	36	114	31	0,38	1/h	7	37		1	1
242	34	119	26	0,001	1/h	7	30		1	1
243	37	119	26	0,58	1/h	7	30	Contains plasmids pRK248cl, EcoR4, and pMTC48	1	1
244	34	120	27	0,412	1/h		37		1	1
245	34	121	27	0,258	1/h		37	With IPTG induction	1	1
246	43	123	28	0,092	1/h	7,3	37		1	1
247	43	124	28	0,106	1/h	7,3	37		1	1
248	43	125	28	0,141	1/h	7,3	37		1	1
249	43	126	28	0,186	1/h	7,3	37		1	1
250	43	127	28	0,102	1/h	7,3	37		1	1
251	44	132	40	0,85	1/h	7	37		1	1
252	48	132	40	0,18	1/h	7	37	PflA knockout	1	1
253	52	132	40	0,24	1/h	7	37	pta knockout	1	1
254	46	132	40	0,01	1/h	7	37	ppc knockout	1	1
255	54	132	40	0,03	1/h	7	37	adhE knockout	1	1
256	55	132	40	0,48	1/h	7	37	pykF knockout	1	1
257	44	132	39	0,8304	1/h	7	37		1	1
258	49	132	39	0,789	1/h	7	37	pflB knockout	1	1
259	44	130	38	0,62	1/h	7	37		1	1
260	44	131	38	0,38	1/h	7	37		1	1
261	47	130	38	0,6	1/h	7	37	gnd knockout	1	1
262	47	131	38	0,39	1/h	7	37	gnd knockout	1	1
263	45	130	38	0,56	1/h	7	37	zwf knockout	1	1
264	45	131	38	0,36	1/h	7	37	zwf knockout	1	1
265	44	130	37	0,41	1/h	7	37		1	1
266	46	130	37	0,34	1/h	7	37	ppc knockout	1	1
267	44	128	36	0,2466	1/h	7	37		1	1
268	45	128	36	0,1829	1/h	7	37	zwf knockout	1	1
269	44	129	36	0,3217	1/h	7	37		1	1
270	45	129	36	0,2447	1/h	7	37	zwf knockout	1	1
271	56	133	41	0,96	1/h	7,2	37		1	1
272	56	134	42	0,64	1/h			doubling time	1	1
273	56	135	42	0,533	1/h			doubling time	1	1
274	56	136	42	0,743	1/h			doubling time	1	1
275	56	137	43	0,69	1/h	6,5	37		1	1
276	57	138	44	0,547	1/h		37	doubling time	1	1
277	57	139	44	0,349	1/h		37	doubling time	1	1
278	57	140	44	0,297	1/h		37	doubling time	1	1
279	57	141	44	0,193	1/h		37	doubling time	1	1
280	58	138	44	0,832	1/h		37	doubling time	1	1
281	58	139	44	0,54	1/h		37	doubling time	1	1
282	58	140	44	0,484	1/h		37	doubling time	1	1
283	58	141	44	0,31	1/h		37	doubling time	1	1
284	59	142	45	0,717	1/h		37	doubling time	1	1
285	59	143	45	0,785	1/h		37	doubling time	1	1
286	60	142	45	0,832	1/h		37	doubling time	1	1
287	60	143	45	0,785	1/h		37	doubling time	1	1
288	61	142	45	0,63	1/h		37	doubling time	1	1
289	61	143	45	0,693	1/h		37	doubling time	1	1
290	62	142	45	0,705	1/h		37	doubling time	1	1
291	62	143	45	0,682	1/h		37	doubling time	1	1
292	63	144	46	0,555	1/h	6,5	85	doubling time	1	1
293	64	145	47	0,763	1/h		37	doubling time	1	1
294	65	145	47	0,749	1/h		37	doubling time	1	1
295	66	145	47	0,562	1/h		37	doubling time	1	1
296	67	145	47	0,612	1/h		37	doubling time	1	1
297	68	146	48	0,78025	1/h		37	moderate aeration	1	1
298	69	146	48	0,743908	1/h		37	moderate aeration	1	1
299	68	147	49	0,61	1/h		37		1	1
300	70	147	49	0,55	1/h		37		1	1
301	71	147	49	0,69	1/h		37		1	1
302	72	147	49	0,68	1/h		37		1	1
303	73	147	49	0,17	1/h		37		1	1
304	74	147	49	0,08	1/h		37		1	1
305	75	147	49	0,6	1/h		37		1	1
306	76	147	49	0,41	1/h		37		1	1
307	77	147	49	0,5	1/h		37		1	1
308	78	147	49	0,67	1/h		37		1	1
309	79	148	50	0,208424	1/h	6,8	28	First subculture	1	1
310	80	148	50	0,0142805	1/h	6,8	28	First subculture	1	1
311	80	149	50	0,311643	1/h	6,8	28	First subculture	1	1
312	79	150	50	0,290801	1/h	6,8	28	First subculture	1	1
313	80	150	50	0,101234	1/h	6,8	28	First subculture	1	1
314	79	151	50	0,234228	1/h	6,8	28	First subculture	1	1
315	80	151	50	0,252099	1/h	6,8	28	First subculture	1	1
316	79	152	50	0,262018	1/h	6,8	28	First subculture	1	1
317	80	152	50	0,234232	1/h	6,8	28	First subculture	1	1
318	81	153	52			7,4	60	Anaerobic	1	1
320	85	155	54	0,93	1/h	7,4	37		1	1
321	85	156	54	0,5	1/h	7,4	37		1	1
322	85	157	54	0,5	1/h	7,4	37		1	1
323	85	158	54	0,65	1/h	7,4	37		1	1
324	85	159	54	0,72	1/h	7,4	37		1	1
325	85	160	54	0,54	1/h	7,4	37		1	1
326	85	161	55	0,33	1/h				1	1
327	85	162	56	1,3	1/h	7			1	1
328	85	163	57	0,54	1/h		37	aerobic	1	1
329	85	164	58	0,22	1/h		37		1	1
330	79	165	59	0,221402	1/h	6,8	28	First subculture	1	1
331	79	165	63	0,125596	1/h	6,8	28	Second subculture	1	1
332	87	165	63	0,113385	1/h	6,8	28	Second subculture	1	1
333	88	165	63	0,0444817	1/h	6,8	28	Second subculture	1	1
334	89	165	63	0,0388748	1/h	6,8	28	Second subculture	1	1
335	70	166	60	0,24	1/h	7,4	37		1	1
336	70	167	61	0,97	1/h				1	1
337	70	168	62	0,112	1/h	7	37		1	1
338	79	169	63	0,313989	1/h	6,8	28	Second subculture	1	1
339	87	169	63	0,0383764	1/h	6,8	28	Second subculture	1	1
340	88	169	63	0,0470983	1/h	6,8	28	Second subculture	1	1
341	89	169	63	0,125596	1/h	6,8	28	Second subculture	1	1
342	79	170	63	0,251191	1/h	6,8	28	Second subculture	1	1
343	87	170	63	0,298289	1/h	6,8	28	Second subculture	1	1
344	88	170	63	0,308756	1/h	6,8	28	Second subculture	1	1
345	89	170	63	0,248574	1/h	6,8	28	Second subculture	1	1
346	90	171	64	0,393358	1/h	6,8	28		1	1
347	90	172	64	0,353506	1/h	6,8	28		1	1
348	91	171	64	0,121525	1/h	6,8	28		1	1
349	92	171	64	0,121525	1/h	6,8	28		1	1
350	91	172	64	0,39016	1/h	6,8	28		1	1
351	92	172	64	0,3262	1/h	6,8	28		1	1
352	93	171	64	0,121525	1/h	6,8	28		1	1
353	94	171	64	0,281427	1/h	6,8	28		1	1
354	95	171	64	0,281427	1/h	6,8	28		1	1
355	93	172	64	0,268635	1/h	6,8	28		1	1
356	94	172	64	0,281427	1/h	6,8	28		1	1
357	95	172	64	0,281427	1/h	6,8	28		1	1
358	96	173	65	0,142541	1/h		37		1	1
359	96	174	65	0,921034	1/h		37		1	1
360	97	175	66	0,0868833	1/h	9,2	40		1	1
361	98	176	67	1,342	1/h	6,5	37	Doubling time	1	1
362	98	177	67	1,54	1/h	6,5		Doubling time	1	1
363	99	178	72	0,694849	1/h	7			1	1
364	100	178	72	0,537122	1/h	7			1	1
365	101	178	72	0,422618	1/h	7			1	1
366	102	178	72	0,465863	1/h	7			1	1
367	103	178	72	0,381525	1/h	7			1	1
368	99	179	72	0,26096	1/h	7			1	1
369	104	179	72	0,315539	1/h	7			1	1
370	99	180	72	0,221467	1/h	7			1	1
371	104	180	72	0,112307	1/h	7			1	1
372	99	181	72	0,0556068	1/h	7			1	1
373	104	181	72	0,0301294	1/h	7			1	1
374	99	182	73	0,26609	1/h	7			1	1
375	99	183	73	0,191711	1/h	7			1	1
376	99	184	73	0,304784	1/h	7			1	1
377	99	185	73	0,231172	1/h	7			1	1
378	83	186	68						1	1
379	84	186	68						1	1
380	83	187	68						1	1
381	84	187	68						1	1
382	83	188	68						1	1
383	84	188	68						1	1
384	83	189	68						1	1
385	84	189	68						1	1
386	105	190	69	0,33472	1/h	7	37		1	1
387	105	191	69	0,20776	1/h	7	37		1	1
388	105	192	69	0,15851	1/h	7	37		1	1
389	105	193	69	0,13373	1/h	7	37		1	1
390	83	194	69	0,408	1/h	7	37	Doubling time	1	1
391	83	195	69	0,63	1/h	7	37	Doubling time	1	1
392	83	196	69	0,533	1/h	7	37	Doubling time	1	1
393	106	197	74	0,56	1/h		30		1	1
394	106	198	74	0,72	1/h		30		1	1
395	106	199	75	0,26	1/h		30		1	1
396	106	200	75	0,43	1/h		30		1	1
397	106	201	75	0,54	1/h		30		1	1
398	107	202	76	0,108	1/h	6,8	37	Doubling time	1	1
399	107	203	76	0,489	1/h	6,8	37	Doubling time	1	1
400	107	204	76	0,64	1/h	6,8	37	Doubling time	1	1
401	107	206	76	0,252	1/h		37	Doubling time	1	1
402	107	207	76	0,347	1/h		37	Doubling time	1	1
403	98	202	76	0,347	1/h	6,8	37	Doubling time	1	1
404	98	203	76	0,693	1/h	6,8	37	Doubling time	1	1
405	98	204	76	0,924	1/h	6,8	37	Doubling time	1	1
406	98	205	76	0,489	1/h		37	Doubling time	1	1
407	98	206	76	0,924	1/h		37	Doubling time	1	1
408	98	207	76	0,756	1/h		37	Doubling time	1	1
409	108	208	77	0,28466	1/h				1	1
410	108	209	77	0,271165	1/h				1	1
411	108	210	77	0,3631	1/h				1	1
412	108	211	77	0,282973	1/h				1	1
413	108	212	77	0,319663	1/h				1	1
414	108	213	77	0,288456	1/h				1	1
415	108	214	77	0,431629	1/h				1	1
416	108	215	77	0,260411	1/h				1	1
417	108	216	77	0,480338	1/h				1	1
418	108	217	77	0,25767	1/h				1	1
419	108	218	77	0,377649	1/h				1	1
420	108	219	77	0,234897	1/h				1	1
421	109	210	77	0,194834	1/h				1	1
422	110	210	77	0,278967	1/h				1	1
423	111	210	77	0,301107	1/h				1	1
424	112	210	77	0,194834	1/h				1	1
425	113	210	77	0,221402	1/h				1	1
426	114	210	77	0,278967	1/h				1	1
427	115	210	77	0,256827	1/h				1	1
428	116	210	77	0,252399	1/h				1	1
429	109	212	77	0,256827	1/h				1	1
430	110	212	77	0,305535	1/h				1	1
431	111	212	77	0,283395	1/h				1	1
432	112	212	77	0,221402	1/h				1	1
433	113	212	77	0,212546	1/h				1	1
434	114	212	77	0,305535	1/h				1	1
435	115	212	77	0,265683	1/h				1	1
436	116	212	77	0,283395	1/h				1	1
437	117	220	78	0,667829	1/h	6,8			1	1
438	118	220	78	0,066332	1/h	6,8			1	1
439	119	221	79	1,02245	1/h				1	1
440	119	222	79	0,721183	1/h				1	1
441	120	221	79	0,238825	1/h				1	1
442	120	222	79	0,760544	1/h				1	1
443	121	221	79	0,504798	1/h				1	1
444	121	222	79	0,106273	1/h				1	1
445	122	223	81	0,0315	1/h	7	28	doubling time	1	1
446	122	224	81	0,0578	1/h	7	28	doubling time	1	1
447	122	225	82	0,0546	1/h	6,8	28	doubling time	1	1
450	126	226	83	0,36	1/h	7	70	anaerobic	1	1
451	126	227	83	0,046	1/h	7	70	anaerobic	1	1
452	67	228	84	0,832	1/h	7		doublings/hr	1	1
453	67	229	84	0,652	1/h	7		doublings/hr	1	1
454	67	230	84	0,624	1/h	7		doublings/hr	1	1
455	67	231	84	0,575	1/h	7		doublings/hr	1	1
456	67	232	84	0,575	1/h	7		doublings/hr	1	1
457	67	233	84	0,561	1/h	7		doublings/hr	1	1
458	67	234	84	0,541	1/h	7		doublings/hr	1	1
459	67	235	84	0,437	1/h	7		doublings/hr	1	1
460	67	236	84	0,43	1/h	7		doublings/hr	1	1
461	127	237	85	0,08	1/h	4	37		1	1
462	127	237	85	0,2	1/h	5	37		1	1
463	127	237	85	0,36	1/h	6	37		1	1
464	127	237	85	0,54	1/h	7	37		1	1
465	127	250	85	0,1	1/h	4	37		1	1
466	127	250	85	0,19	1/h	5	37		1	1
467	127	250	85	0,21	1/h	6	37		1	1
468	127	250	85	0,29	1/h	7	37		1	1
493	127	238	85	0,075	1/h	4	37		1	1
494	127	238	85	0,051	1/h	5	37		1	1
495	127	238	85	0,056	1/h	6	37		1	1
496	127	238	85	0,11	1/h	7	37		1	1
497	127	239	85	0,03	1/h	4	37		1	1
498	127	239	85	0,03	1/h	5	37		1	1
499	127	239	85	0,051	1/h	6	37		1	1
500	127	239	85	0,11	1/h	7	37		1	1
501	127	240	85	0,022	1/h	4	37		1	1
502	127	240	85	0,0215	1/h	5	37		1	1
503	127	240	85	0,021	1/h	6	37		1	1
504	127	240	85	0,108	1/h	7	37		1	1
505	127	241	85	0,062	1/h	4	37		1	1
506	127	241	85	0,118	1/h	5	37		1	1
507	127	241	85	0,147	1/h	6	37		1	1
508	127	241	85	0,125	1/h	7	37		1	1
509	127	242	85	0,021	1/h	4	37		1	1
510	127	242	85	0,0635	1/h	5	37		1	1
511	127	242	85	0,09	1/h	6	37		1	1
512	127	242	85	0,0605	1/h	7	37		1	1
513	127	243	85	0,018	1/h	4	37		1	1
514	127	243	85	0,027	1/h	5	37		1	1
515	127	243	85	0,049	1/h	6	37		1	1
516	127	243	85	0,048	1/h	7	37		1	1
517	127	244	85	0,063	1/h	4	37		1	1
518	127	244	85	0,128	1/h	5	37		1	1
519	127	244	85	0,145	1/h	6	37		1	1
520	127	244	85	0,162	1/h	7	37		1	1
521	127	245	85	0,051	1/h	4	37		1	1
522	127	245	85	0,093	1/h	5	37		1	1
523	127	245	85	0,068	1/h	6	37		1	1
524	127	245	85	0,077	1/h	7	37		1	1
525	127	246	85	0,018	1/h	4	37		1	1
526	127	246	85	0,072	1/h	5	37		1	1
527	127	246	85	0,044	1/h	6	37		1	1
528	127	246	85	0,05	1/h	7	37		1	1
529	127	247	85	0,058	1/h	4	37		1	1
530	127	247	85	0,0985	1/h	5	37		1	1
531	127	247	85	0,089	1/h	6	37		1	1
532	127	247	85	0,144	1/h	7	37		1	1
533	127	248	85	0,0595	1/h	4	37		1	1
534	127	248	85	0,0765	1/h	5	37		1	1
535	127	248	85	0,0875	1/h	6	37		1	1
536	127	248	85	0,1035	1/h	7	37		1	1
537	127	249	85	0,0385	1/h	4	37		1	1
538	127	249	85	0,0285	1/h	5	37		1	1
539	127	249	85	0,0585	1/h	6	37		1	1
540	127	249	85	0,043	1/h	7	37		1	1
541	67	251	86	0,743	1/h		37	doubling time	1	1
542	128	251	86	0,743	1/h		37	doubling time	1	1
543	129	251	86	0,743	1/h		37	doubling time	1	1
544	130	251	86	0,495	1/h		37	doubling time	1	1
545	126	252	87	0,33	1/h		70	autotrophic	1	1
546	131	253	88	0,0304078	1/h	7,2	30		1	1
547	131	254	88	0,0272364	1/h	7,2	30		1	1
548	131	255	88	0,0330142	1/h	7,2	30		1	1
549	131	256	88	0,0345022	1/h	7,2	30		1	1
550	132	257	89	1,38629	1/h	7,2	30		1	1
551	131	258	90	0,365	1/h			doubling time	1	1
552	131	259	90	0,178	1/h			doubling time	1	1
553	131	260	90	0,193	1/h			doubling time	1	1
554	131	261	90	0,025	1/h			doubling time	1	1
555	131	262	90	0,193	1/h			doubling time	1	1
556	131	263	90	0,301	1/h			doubling time	1	1
557	131	264	90	0,11	1/h			doubling time	1	1
558	131	265	90	0,136	1/h			doubling time	1	1
559	131	266	90	0,114	1/h			doubling time	1	1
560	131	267	90	0,154	1/h			doubling time	1	1
561	131	268	90	0,0468	1/h			"doubling time; very variant"	1	1
562	131	269	90	0,257	1/h			doubling time	1	1
563	131	270	90	0,495	1/h			doubling time	1	1
564	131	271	90	0,462	1/h			doubling time	1	1
565	131	272	90	0,224	1/h			doubling time	1	1
566	131	273	90	0,165	1/h			doubling time	1	1
567	131	274	90	0,133	1/h			doubling time	1	1
568	131	275	90	0,239	1/h			doubling time	1	1
569	131	276	90	0,165	1/h			doubling time	1	1
570	133	270	90	0,016	1/h			doubling time	1	1
571	133	271	90	0,0636	1/h			doubling time	1	1
572	133	272	90	0,041	1/h			doubling time	1	1
573	133	273	90	0,231	1/h			doubling time	1	1
574	133	274	90	0,151	1/h			doubling time	1	1
575	133	275	90	0,495	1/h			doubling time	1	1
576	133	276	90	0,257	1/h			doubling time	1	1
577	134	270	90	0,21	1/h			doubling time	1	1
578	134	271	90	0,365	1/h			doubling time	1	1
579	134	272	90	0,248	1/h			doubling time	1	1
580	134	273	90	0,289	1/h			doubling time	1	1
581	134	274	90	0,347	1/h			doubling time	1	1
582	134	275	90	0,385	1/h			doubling time	1	1
583	134	276	90	0,102	1/h			"doubling time; lots of variance"	1	1
584	135	270	90	0,0715	1/h			doubling time	1	1
585	135	271	90	0,0707	1/h			doubling time	1	1
586	135	272	90	0,0924	1/h			doubling time	1	1
587	135	273	90	0,248	1/h			doubling time	1	1
588	135	274	90	0,173	1/h			doubling time	1	1
589	135	275	90	0,289	1/h			doubling time	1	1
590	135	276	90	0,21	1/h			doubling time	1	1
591	123	277	70	0,5493	1/h	6,7	37		1	1
592	124	277	70	0,5871	1/h	6,7	37		1	1
593	125	277	70	0,5964	1/h	6,7	37		1	1
594	83	278	71	0,457	1/h		37		1	1
595	136	278	71	0,4618	1/h		37		1	1
596	137	278	71	0,4338	1/h		37		1	1
597	138	278	71	0,4758	1/h		37		1	1
598	139	281	94	1,167	1/h				1	1
599	139	279	92						1	1
600	139	280	92						1	1
601	139	282	94						1	1
602	140	283	95	0,28	1/h	6,5	30		1	1
603	140	284	95	0,36	1/h	6,5	30		1	1
604	140	285	95	0,32	1/h	6,5	30		1	1
605	141	287	98			5,8	25		1	1
606	142	288	99	0,62	1/h	7			1	1
607	142	289	99	0,72	1/h	7			1	1
608	143	290	101	0,0472	1/h	6,9	37	"aerobic; doubling time"	1	1
609	144	291	103	0,3	1/h		30		1	1
610	145	291	103	0,38	1/h		30		1	1
611	146	291	103	0,28	1/h		30		1	1
612	147	291	103	0,33	1/h		30		1	1
613	148	292	104	0,55	1/h		37		1	1
614	149	293	105	0,17	1/h	7,4	37		1	1
615	149	294	106	0,95	1/h	7,4	37		1	1
616	150	295	108	0,12	1/h	7,7	30		1	1
617	151	296	109	0,224	1/h		35		1	1
618	151	297	109	0,217	1/h		35		1	1
619	151	298	109	0,21	1/h		35		1	1
620	151	299	109	0,178	1/h		35		1	1
621	152	300	110	0,75	1/h		37		1	1
622	153	301	111	0,074	1/h		37		1	1
